run,job_id,attention_backend,case_id,golden_probability_gap_to_greedy,greedy_token_id,max_probability_error,prompt_tokens,rank,request_id,request_kind,request_seconds,returned_logprob_count,top_probability_l1_error,vllm_batch_invariant,vllm_use_flashinfer_sampler
1,7ff3af48,FLASH_ATTN,structured-structeval-10,0.0,2612,0.004557431804551662,1093,5,wave-5-structured-structeval-10-rank-5,representative,0.4707768280059099,50,0.010037967116515598,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-01,0.0,5324,0.02165144818958213,258,2,wave-3-tool-atlas-01-rank-2,representative,0.10137785691767931,50,0.07490671507814796,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-02,0.0,5324,0.015551529959371771,276,3,wave-3-tool-atlas-02-rank-3,representative,0.10205182293429971,50,0.050641798048007274,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-03,0.0,5324,0.03956979337711862,304,4,wave-3-tool-atlas-03-rank-4,representative,0.1011153170838952,50,0.13417314857217644,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-04,0.0,5324,0.012134356445776928,287,5,wave-3-tool-atlas-04-rank-5,representative,0.09752041520550847,50,0.032330816876795114,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-05,0.0,5324,0.0150401608572647,274,6,wave-3-tool-atlas-05-rank-6,representative,0.09724016487598419,50,0.046285680000937975,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-06,0.0,5324,0.010841500656193201,275,7,wave-3-tool-atlas-06-rank-7,representative,0.09709405293688178,50,0.03572895446525848,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-07,0.0,5324,0.048304416840756925,1189,6,wave-5-tool-atlas-07-rank-6,representative,0.4726466527208686,50,0.11811826588897527,1,0
1,7ff3af48,FLASH_ATTN,tool-atlas-08,0.0,5324,0.008320496549360124,1186,7,wave-5-tool-atlas-08-rank-7,representative,0.47242750972509384,50,0.03812013947669382,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.014111131096591845,15025,0,rank-sentinel-knowledge-longbench-02-rank-0,sentinel,2.732409267220646,50,0.04212054295140554,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.06970510419031078,15025,1,rank-sentinel-knowledge-longbench-02-rank-1,sentinel,0.15324692521244287,50,0.14222230771578018,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.03511424929076856,15025,2,rank-sentinel-knowledge-longbench-02-rank-2,sentinel,2.725856185890734,50,0.0733779156544104,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.025150732398845688,15025,3,rank-sentinel-knowledge-longbench-02-rank-3,sentinel,2.7299332371912897,50,0.06722824322043885,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.0741303815094298,15025,4,rank-sentinel-knowledge-longbench-02-rank-4,sentinel,2.718064185231924,50,0.15561125645579377,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.017062118462661813,15025,5,rank-sentinel-knowledge-longbench-02-rank-5,sentinel,2.728573084808886,50,0.03975080626975003,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.055487692149351786,15025,6,rank-sentinel-knowledge-longbench-02-rank-6,sentinel,2.7284804359078407,50,0.113463456334601,1,0
1,7ff3af48,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.03219774465491568,15025,7,rank-sentinel-knowledge-longbench-02-rank-7,sentinel,2.7288537910208106,50,0.0708101073553532,1,0
2,9af1f63f,FLASH_ATTN,code-humaneval-01,0.0,1432,0.030024359238423393,118,0,wave-0-code-humaneval-01-rank-0,representative,2.383967875968665,50,0.06251483776069378,1,0
2,9af1f63f,FLASH_ATTN,code-humaneval-02,0.0,1432,0.001092643399395854,120,1,wave-0-code-humaneval-02-rank-1,representative,4.312246943823993,50,0.0028474470339064674,1,0
2,9af1f63f,FLASH_ATTN,code-humaneval-03,0.0,220,0.0063568885154738075,116,2,wave-0-code-humaneval-03-rank-2,representative,4.275182808283716,50,0.025912243034443956,1,0
2,9af1f63f,FLASH_ATTN,code-humaneval-04,0.0,1432,0.0354114132687573,104,3,wave-0-code-humaneval-04-rank-3,representative,4.163486641366035,50,0.09107168224576849,1,0
2,9af1f63f,FLASH_ATTN,code-humaneval-05,0.0,1432,0.008830268174073952,205,4,wave-0-code-humaneval-05-rank-4,representative,4.135719168931246,50,0.02156168861807428,1,0
2,9af1f63f,FLASH_ATTN,code-humaneval-06,0.0,1432,0.016996755780562978,132,5,wave-0-code-humaneval-06-rank-5,representative,4.272420464549214,50,0.054704190354642454,1,0
2,9af1f63f,FLASH_ATTN,instruction-ifeval-01,0.0,3234,0.004744581093648961,75,6,wave-0-instruction-ifeval-01-rank-6,representative,4.364469585008919,50,0.03444647281150945,1,0
2,9af1f63f,FLASH_ATTN,instruction-ifeval-02,0.0,578,0.003310978545997968,31,7,wave-0-instruction-ifeval-02-rank-7,representative,4.360093544237316,50,0.019475133498176738,1,0
2,9af1f63f,FLASH_ATTN,instruction-ifeval-03,0.0,220,0.002791812724652065,28,0,wave-1-instruction-ifeval-03-rank-0,representative,0.16991127422079444,50,0.021920781046611368,1,0
2,9af1f63f,FLASH_ATTN,instruction-ifeval-04,0.0,3234,0.045743143921255974,59,1,wave-1-instruction-ifeval-04-rank-1,representative,0.11129907192662358,50,0.09291460705632044,1,0
2,9af1f63f,FLASH_ATTN,instruction-ifeval-05,0.0,220,0.00604176009207491,31,2,wave-1-instruction-ifeval-05-rank-2,representative,0.11004636390134692,50,0.02162680412016032,1,0
2,9af1f63f,FLASH_ATTN,instruction-ifeval-06,0.003158679537973011,3234,0.010571915377920446,54,3,wave-1-instruction-ifeval-06-rank-3,representative,0.10951633704826236,50,0.05665758021901577,1,0
2,9af1f63f,FLASH_ATTN,instruction-longbench-01,0.008928818142182049,362,0.024034607041430123,23113,0,wave-7-instruction-longbench-01-rank-0,representative,3.708853734191507,50,0.08564420154863021,1,0
2,9af1f63f,FLASH_ATTN,knowledge-longbench-01,0.0,356,0.02443542301749496,14734,0,wave-6-knowledge-longbench-01-rank-0,representative,2.2828799709677696,50,0.053911251137878605,1,0
2,9af1f63f,FLASH_ATTN,knowledge-longbench-02,0.0,423,0.02227564177377217,15025,1,wave-6-knowledge-longbench-02-rank-1,representative,2.412334233056754,50,0.045862652974907554,1,0
2,9af1f63f,FLASH_ATTN,knowledge-mmlu-01,0.0,362,0.007867938716648093,52,4,wave-1-knowledge-mmlu-01-rank-4,representative,0.11029731296002865,50,0.017783577130551637,1,0
2,9af1f63f,FLASH_ATTN,knowledge-mmlu-02,0.0,423,0.003883264096978478,57,5,wave-1-knowledge-mmlu-02-rank-5,representative,0.1092249508947134,50,0.007833838802070938,1,0
2,9af1f63f,FLASH_ATTN,knowledge-mmlu-03,0.0,426,0.036422688343704546,126,6,wave-1-knowledge-mmlu-03-rank-6,representative,0.10766115598380566,50,0.07307384593463283,1,0
2,9af1f63f,FLASH_ATTN,knowledge-mmlu-04,0.0,356,0.001218945023893303,75,7,wave-1-knowledge-mmlu-04-rank-7,representative,0.1660320940427482,50,0.003104980394132458,1,0
