dataset,k,policy,seed,subset_id,selected_indices,success,regret@1,regret@5,chosen_true_rank,rmse,spearman,runtime_s
three_phase_starcoder,16,random_observed,1036,5-33-43-48-50-53-60-61-74-86-92-97-100-114-122-157,"[5, 33, 43, 48, 50, 53, 60, 61, 74, 86, 92, 97, 100, 114, 122, 157]",1.0,0.02724277973175049,0.016445815563201904,42.0,0.09801972513226381,0.9065070901207078,2.9268806670006597
three_phase_starcoder,16,random_observed,1037,1-5-8-15-24-32-34-35-72-77-82-92-111-126-138-150,"[1, 5, 8, 15, 24, 32, 34, 35, 72, 77, 82, 92, 111, 126, 138, 150]",1.0,0.0038446784019470215,0.0038446784019470215,8.0,0.051127999845970884,0.9557746396343606,2.919634000005317
three_phase_starcoder,16,random_observed,1038,29-33-35-37-53-71-75-77-80-86-89-115-119-142-143-156,"[29, 33, 35, 37, 53, 71, 75, 77, 80, 86, 89, 115, 119, 142, 143, 156]",1.0,0.0245169997215271,0.008656144142150879,37.0,0.07689704729174886,0.8789493730223837,3.018261999997776
three_phase_starcoder,16,random_observed,1039,1-29-37-59-62-65-72-80-82-87-103-115-123-131-138-156,"[1, 29, 37, 59, 62, 65, 72, 80, 82, 87, 103, 115, 123, 131, 138, 156]",1.0,0.13762331008911155,0.0020932555198669434,97.0,0.09154680290104442,0.7913189968358139,3.039025791993481
three_phase_starcoder,16,random_observed,1040,13-14-23-27-32-33-49-50-52-56-66-99-102-130-150-152,"[13, 14, 23, 27, 32, 33, 49, 50, 52, 56, 66, 99, 102, 130, 150, 152]",1.0,0.004587113857269287,0.004587113857269287,9.0,0.29404591842353195,0.9562170397281143,2.8507171670062235
three_phase_starcoder,16,random_observed,1041,11-20-22-31-40-59-60-67-72-109-110-123-127-150-153-154,"[11, 20, 22, 31, 40, 59, 60, 67, 72, 109, 110, 123, 127, 150, 153, 154]",1.0,0.004587113857269287,0.0038446784019470215,9.0,0.07229670246666121,0.9108256181882104,3.1745108339964645
three_phase_starcoder,16,random_observed,1042,16-21-23-28-41-47-48-52-55-59-65-68-124-128-130-140,"[16, 21, 23, 28, 41, 47, 48, 52, 55, 59, 65, 68, 124, 128, 130, 140]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,1.7989039320887636,0.9453123168873784,2.7031118749873713
three_phase_starcoder,16,random_observed,1043,8-11-13-29-31-32-56-67-68-76-82-88-89-107-113-149,"[8, 11, 13, 29, 31, 32, 56, 67, 68, 76, 82, 88, 89, 107, 113, 149]",1.0,0.0227927565574646,0.0038446784019470215,34.0,0.3886885635195022,0.8987079573420836,3.0142677499970887
three_phase_starcoder,16,random_observed,1044,4-25-30-32-37-45-52-72-75-84-105-122-128-135-149-155,"[4, 25, 30, 32, 37, 45, 52, 72, 75, 84, 105, 122, 128, 135, 149, 155]",1.0,0.008880972862243652,0.008880972862243652,18.0,0.08344604981276714,0.9177399507793274,2.9745378749939846
three_phase_starcoder,16,random_observed,1045,6-16-23-38-44-47-50-57-59-80-83-85-115-116-130-144,"[6, 16, 23, 38, 44, 47, 50, 57, 59, 80, 83, 85, 115, 116, 130, 144]",1.0,0.13762331008911155,0.0020932555198669434,97.0,0.2687447185765811,0.8461121528184695,3.1910152500058757
three_phase_starcoder,16,random_observed,1046,9-21-26-31-81-92-103-109-111-114-115-117-121-139-144-154,"[9, 21, 26, 31, 81, 92, 103, 109, 111, 114, 115, 117, 121, 139, 144, 154]",1.0,0.008656144142150879,0.0020932555198669434,17.0,0.10397479970489894,0.7734032579397633,3.063026957999682
three_phase_starcoder,16,random_observed,1047,17-28-32-44-53-57-58-69-75-86-88-107-108-129-136-137,"[17, 28, 32, 44, 53, 57, 58, 69, 75, 86, 88, 107, 108, 129, 136, 137]",1.0,0.09489637613296509,0.016445815563201904,81.0,1.0769547445118928,0.9059240595335755,2.9922024170082295
three_phase_starcoder,16,random_observed,1048,12-15-17-20-67-72-75-78-83-89-93-106-114-137-147-149,"[12, 15, 17, 20, 67, 72, 75, 78, 83, 89, 93, 106, 114, 137, 147, 149]",1.0,0.02724277973175049,0.008365631103515625,42.0,1.2717843008319787,0.9191814133364585,3.014031749989954
three_phase_starcoder,16,random_observed,1049,3-15-19-23-26-32-75-93-112-117-123-124-126-127-129-141,"[3, 15, 19, 23, 26, 32, 75, 93, 112, 117, 123, 124, 126, 127, 129, 141]",1.0,0.008365631103515625,0.0038446784019470215,16.0,0.29780657203594524,0.9127241298488221,3.1409957079886226
three_phase_starcoder,16,random_observed,1050,2-4-28-32-44-46-52-67-73-77-100-102-115-147-154-158,"[2, 4, 28, 32, 44, 46, 52, 67, 73, 77, 100, 102, 115, 147, 154, 158]",1.0,0.004587113857269287,0.0020932555198669434,9.0,0.05565050890215724,0.9574182585257236,3.042468583007576
three_phase_starcoder,16,random_observed,1051,10-23-31-34-38-45-73-95-96-97-115-130-138-148-151-152,"[10, 23, 31, 34, 38, 45, 73, 95, 96, 97, 115, 130, 138, 148, 151, 152]",1.0,0.008656144142150879,0.0020932555198669434,17.0,0.09824318011062906,0.901643618891363,3.0973208749928745
three_phase_starcoder,16,random_observed,1052,12-26-36-44-55-62-82-98-118-121-123-125-137-139-144-153,"[12, 26, 36, 44, 55, 62, 82, 98, 118, 121, 123, 125, 137, 139, 144, 153]",1.0,0.060157060623169056,0.0,70.0,0.21444530919412164,0.8306750263682176,3.1314039999997476
three_phase_starcoder,16,random_observed,1053,7-16-18-40-46-63-71-85-88-119-121-129-133-134-140-143,"[7, 16, 18, 40, 46, 63, 71, 85, 88, 119, 121, 129, 133, 134, 140, 143]",1.0,0.00928962230682373,0.0038446784019470215,19.0,0.16093813039214677,0.8917203797023322,3.106804708004347
three_phase_starcoder,16,random_observed,1054,17-21-34-41-52-55-57-59-62-99-100-112-118-126-139-156,"[17, 21, 34, 41, 52, 55, 57, 59, 62, 99, 100, 112, 118, 126, 139, 156]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,0.22792264838181914,0.9519073010664478,2.864223625001614
three_phase_starcoder,16,random_observed,1055,1-6-35-37-40-44-52-61-63-72-90-93-102-103-104-136,"[1, 6, 35, 37, 40, 44, 52, 61, 63, 72, 90, 93, 102, 103, 104, 136]",1.0,0.00928962230682373,0.0020932555198669434,19.0,0.05438340906249152,0.9476034220086722,2.9316494170052465
three_phase_starcoder,16,random_observed,1056,26-40-44-57-61-75-80-82-92-102-114-116-139-143-153-158,"[26, 40, 44, 57, 61, 75, 80, 82, 92, 102, 114, 116, 139, 143, 153, 158]",1.0,0.1771693229675293,0.00380706787109375,112.0,0.3054181865764752,0.8501113324739248,3.0733187079895288
three_phase_starcoder,16,random_observed,1057,22-23-28-34-35-39-40-73-104-107-116-120-123-129-132-153,"[22, 23, 28, 34, 35, 39, 40, 73, 104, 107, 116, 120, 123, 129, 132, 153]",1.0,0.060157060623169056,0.008880972862243652,70.0,0.4675892082236774,0.8489687097152232,2.9587756660039304
three_phase_starcoder,16,random_observed,1058,0-18-27-31-41-75-76-77-104-115-117-140-143-152-156-158,"[0, 18, 27, 31, 41, 75, 76, 77, 104, 115, 117, 140, 143, 152, 156, 158]",1.0,0.02724277973175049,0.0020932555198669434,42.0,0.04766504399245123,0.90754131020743,3.0305189589998918
three_phase_starcoder,16,random_observed,1059,10-12-14-22-25-27-82-84-95-96-103-110-125-139-149-158,"[10, 12, 14, 22, 25, 27, 82, 84, 95, 96, 103, 110, 125, 139, 149, 158]",1.0,0.02724277973175049,0.008365631103515625,42.0,0.06411480726970036,0.9403140747685457,2.994334457995137
three_phase_starcoder,16,random_observed,1060,2-11-13-41-42-45-48-51-55-57-74-97-106-115-138-146,"[2, 11, 13, 41, 42, 45, 48, 51, 55, 57, 74, 97, 106, 115, 138, 146]",1.0,0.00928962230682373,0.004587113857269287,19.0,0.3518177038666472,0.9274082971991092,3.000308999995468
three_phase_starcoder,16,random_observed,1061,5-14-16-21-22-32-37-41-79-80-81-85-102-110-130-144,"[5, 14, 16, 21, 22, 32, 37, 41, 79, 80, 81, 85, 102, 110, 130, 144]",1.0,0.004587113857269287,0.0020932555198669434,9.0,0.04030241199352839,0.9601166061174264,3.105756458011456
three_phase_starcoder,16,random_observed,1062,6-14-32-37-48-50-55-68-70-92-103-104-108-111-128-138,"[6, 14, 32, 37, 48, 50, 55, 68, 70, 92, 103, 104, 108, 111, 128, 138]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,0.07478749094380845,0.8697175670924645,3.0205185410013655
three_phase_starcoder,16,random_observed,1063,17-28-32-34-41-63-76-78-80-100-114-131-138-140-147-150,"[17, 28, 32, 34, 41, 63, 76, 78, 80, 100, 114, 131, 138, 140, 147, 150]",1.0,0.004587113857269287,0.0038446784019470215,9.0,0.06867208067754639,0.9525430680885972,3.0851597919972846
three_phase_starcoder,16,random_observed,1064,3-39-45-69-70-72-81-95-100-105-110-116-122-125-149-156,"[3, 39, 45, 69, 70, 72, 81, 95, 100, 105, 110, 116, 122, 125, 149, 156]",1.0,0.008656144142150879,0.0020932555198669434,17.0,0.1024365178614364,0.8497304582210242,3.054664082999807
three_phase_starcoder,16,random_observed,1065,5-15-17-35-65-79-96-108-110-115-120-123-136-143-148-149,"[5, 15, 17, 35, 65, 79, 96, 108, 110, 115, 120, 123, 136, 143, 148, 149]",1.0,0.00928962230682373,0.005197107791900635,19.0,0.15797383136457838,0.9221112152818469,3.0405965829995694
