model,drop_pair,n,actual_drop_mean,pred_drop_mean,drop_error_mean,drop_ratio_mean,drop_ratio_median,drop_ratio_std,drop_rmse
mct_lrq70_drop_Ntied_rho0p1,0.5x_to_2.0x,3,0.0485168099403381,0.04532201611360542,-0.0031947938267326745,0.9333649639411874,0.9437883203626677,0.032069852062852684,0.0033952078213950686
mct_lrq70_drop_Ntied_rho0p1,1.0x_to_2.0x,3,0.02120641867319743,0.02117859016597549,-2.7828507221938636e-05,0.9981185545158585,1.0062875717052626,0.04628555773550445,0.0007836015810343287
mct_lrq70_drop_Ntied_rho0p25,0.5x_to_1.0x,12,0.023635695377985665,0.023763512588712465,0.0001278172107267994,1.0331642683916369,0.9427554732287813,0.22280098456294262,0.004208394261965286
mct_lrq70_drop_Ntied_rho0p25,0.5x_to_2.0x,3,0.0485168099403381,0.04524727312515353,-0.003269536815184567,0.9318256778385595,0.9422072425822112,0.03202394614408606,0.0034643188956964967
mct_lrq70_drop_Ntied_rho0p25,1.0x_to_2.0x,3,0.02120641867319743,0.021136065610661652,-7.035306253577733e-05,0.996113410244674,1.0043115588291385,0.04620676370263144,0.0007842949883335848
mct_lrq70_drop_Ntied_rho0p5,0.5x_to_1.0x,12,0.023635695377985665,0.02361928323233392,-1.6412145651743353e-05,1.0268583399552005,0.9363655759585716,0.2208801941676338,0.00418223232466615
mct_lrq70_drop_Ntied_rho0p5,0.5x_to_2.0x,3,0.0485168099403381,0.0449896656197161,-0.0035271443206219923,0.9265226820275516,0.9367633401937677,0.031764972806788014,0.0037030182038354496
mct_lrq70_drop_Ntied_rho0p5,1.0x_to_2.0x,3,0.02120641867319743,0.020994687631695652,-0.00021173104150177627,0.9894501835823322,0.9976238769967127,0.04586174480659729,0.0008016458219871044
mct_lrq76_drop_Nshrink_lam0p1,0.5x_to_1.0x,12,0.023635695377985665,0.02303643648226904,-0.0005992588957166219,1.001884932466713,0.9120926386352446,0.21845167267883628,0.004294999379899274
mct_lrq76_drop_Nshrink_lam0p1,0.5x_to_2.0x,3,0.0485168099403381,0.04313305195693603,-0.005383757983402071,0.8883419551077364,0.8975477005405865,0.028198666178355498,0.005464182527572635
mct_lrq76_drop_Nshrink_lam0p1,1.0x_to_2.0x,3,0.02120641867319743,0.020041754026625225,-0.0011646646465722037,0.9445900019836272,0.9505832781606051,0.04213350987053149,0.0013576032945531767
mct_lrq76_drop_Nshrink_lam1,0.5x_to_1.0x,12,0.023635695377985665,0.023716823801908538,8.112842392287341e-05,1.0312142960044348,0.9420429162206103,0.22310769396248212,0.004228822707974058
mct_lrq76_drop_Nshrink_lam1,0.5x_to_2.0x,3,0.0485168099403381,0.04501884828764091,-0.0034979616526971866,0.9271302157151636,0.9373859567575283,0.03149550570244616,0.003672251205361901
mct_lrq76_drop_Nshrink_lam1,1.0x_to_2.0x,3,0.02120641867319743,0.021023056403554025,-0.00018336226964340194,0.9907964669639626,0.9986170677954516,0.04568050469730292,0.0007920950851134502
mct_lrq76_drop_Nshrink_lam10,0.5x_to_1.0x,12,0.023635695377985665,0.023818034208026678,0.00018233883004101226,1.0355755350536116,0.9457272261996159,0.22381400170086127,0.004228640235680615
mct_lrq76_drop_Nshrink_lam10,0.5x_to_2.0x,3,0.0485168099403381,0.04530185173353966,-0.0032149582067984386,0.9329511443412758,0.9433642360804076,0.03199325139874597,0.0034129804986524114
mct_lrq76_drop_Nshrink_lam10,1.0x_to_2.0x,3,0.02120641867319743,0.0211701291843505,-3.628948884693006e-05,0.9977215567828384,1.005820264804211,0.04621723890276513,0.0007826692838052357
mct_lrq76_drop_Nshrink_lam100,0.5x_to_1.0x,12,0.023635695377985665,0.023828685603931993,0.00019299022594633045,1.036034504028389,0.9460626963418111,0.22388873166466652,0.004228773964133281
