I20260911 05:44:43 8553706816 iris.cluster.config Loading config from lib/iris/config/marin.yaml
I20260911 05:44:43 8553706816 finelog.client.log_client LogClient resolved /system/log-server -> https://iris.oa.dev/proxy/system.log-server (log)
Not all requested scopes were granted by the authorization server, missing scopes email.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813919184576 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813919184576)] Step checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260912_21c332f5 has no active lock, taking over.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813919184576 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813919184576)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260912_21c332f5
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:57 139813927577280 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813927577280)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_unmatched_p080_s20260911_366f2e8c
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139814003111616 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813986326208 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813894006464 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813894006464)] Status checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260913_8a4fe7a4: RUNNING
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813894006464 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813894006464)] Step checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260913_8a4fe7a4 has no active lock, taking over.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813894006464 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813894006464)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260913_8a4fe7a4
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813919184576 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813919184576)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260912_21c332f5
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813877221056 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813877221056)] Status checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260914_ff3511be: RUNNING
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813877221056 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813877221056)] Step checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260914_ff3511be has no active lock, taking over.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813877221056 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813877221056)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260914_ff3511be
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139814019897024 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813961148096 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813894006464 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813894006464)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260913_8a4fe7a4
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813877221056 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139813877221056)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260911_d20260914_ff3511be
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813944362688 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:58 139813927577280 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:59 139813919184576 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:59 139813894006464 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:59 139813877221056 fray.current_client current_client: using explicitly set client
