[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678415472320 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678415472320)] Status checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260912_41e07e46: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678415472320 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678415472320)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260912_41e07e46
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678465828544 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260914_1a023184	Params = {'fingerprint': 'b16aa99f', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260914@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': 'b16aa99f'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260914/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:57 140678415472320 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678415472320)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260912_41e07e46
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678398686912 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678398686912)] Status checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260913_57c3063a: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678398686912 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678398686912)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260913_57c3063a
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678449043136 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260913_3fa3e50f	Params = {'fingerprint': '555e382d', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260913@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '555e382d'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260913/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678398686912 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678398686912)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260913_57c3063a
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678381901504 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678381901504)] Status checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260914_1a023184: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678381901504 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678381901504)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260914_1a023184
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678432257728 fray.current_client current_client: using Iris backend (auto-detected)
