direction_id,direction_family,direction_outcome_status,radii_json,clr_direction_dolma3_arxiv,clr_direction_dolma3_cc/art_and_design_high,clr_direction_dolma3_cc/art_and_design_low,clr_direction_dolma3_cc/crime_and_law_high,clr_direction_dolma3_cc/crime_and_law_low,clr_direction_dolma3_cc/education_and_jobs_high,clr_direction_dolma3_cc/education_and_jobs_low,clr_direction_dolma3_cc/electronics_and_hardware_high,clr_direction_dolma3_cc/electronics_and_hardware_low,clr_direction_dolma3_cc/entertainment_high,clr_direction_dolma3_cc/entertainment_low,clr_direction_dolma3_cc/finance_and_business_high,clr_direction_dolma3_cc/finance_and_business_low,clr_direction_dolma3_cc/food_and_dining_high,clr_direction_dolma3_cc/food_and_dining_low,clr_direction_dolma3_cc/games_high,clr_direction_dolma3_cc/games_low,clr_direction_dolma3_cc/health_high,clr_direction_dolma3_cc/health_low,clr_direction_dolma3_cc/history_and_geography_high,clr_direction_dolma3_cc/history_and_geography_low,clr_direction_dolma3_cc/industrial_high,clr_direction_dolma3_cc/industrial_low,clr_direction_dolma3_cc/literature_high,clr_direction_dolma3_cc/literature_low,clr_direction_dolma3_cc/science_math_and_technology_high,clr_direction_dolma3_cc/science_math_and_technology_low,clr_direction_dolma3_finemath_3plus,clr_direction_dolma3_stack_edu,clr_direction_dolma3_wikipedia,clr_direction_dolmino_common_crawl_hq,clr_direction_dolmino_olmocr_pdfs_hq,clr_direction_dolmino_stack_edu_fim,clr_direction_dolmino_stem_heavy_crawl,clr_direction_dolmino_synth_code,clr_direction_dolmino_synth_instruction,clr_direction_dolmino_synth_math,clr_direction_dolmino_synth_qa,clr_direction_dolmino_synth_thinking
historical_frontier,historical_ray,historical outcome-selected reference,"[0.08, 0.15, 0.23]",0.005869193542427517,-0.08224438602932489,-0.3029331442076738,-0.03679830631587507,0.03517012491399993,0.23678796977727146,-0.25920525879509654,-0.14417970972137556,0.051744599039830516,0.3921751355242322,-0.052750744166148035,-0.00820873511378054,0.069238532144895,-0.04141064128052635,-0.008440427236302662,0.16869696569002848,0.1713012461276165,0.18598176747727485,0.05323701674672992,0.2076929563123852,-0.18431354631963737,-0.03128572813237398,-0.4007202749801124,0.08169605003465889,-0.20477907873713072,0.20742739695186838,-0.04719197616625124,-0.1125461848543886,0.07504661017494527,0.010541283097224498,0.20324321442446966,-0.0006531836672845325,0.04227777042650122,0.07015581569487757,0.06252257445711205,0.011214035007909719,-0.04238300187612881,-0.10175070218537137,-0.28022522778147635
proportional,historical_ray,operator-defined control reference,"[0.08, 0.15, 0.23]",-0.24602261765881833,0.09301339450153681,0.015689369801857173,0.0068709166801521485,-0.004470485981390058,0.20499795326978262,0.02088646923519211,-0.05019572006371592,0.11925680689904797,0.27524341120921925,0.09756151481456432,0.10280730800956317,0.260747071485686,0.11590462290711752,0.1983854375964036,0.1754942091908228,0.25917096020120595,0.24709935434664249,0.14440146114527352,0.1235843624365611,-0.044929610211279905,-0.031023377519069577,-0.07560989800913377,-0.03712700576403306,-0.13338273660214497,0.053454812161395165,-0.13085978706230778,-0.20023526807561928,-0.1852522739126781,-0.3071628191024221,0.14891049401294496,-0.11913812784101489,-0.17445602464081772,-0.17210626525345984,-0.2671244189253853,-0.13153782116074048,-0.22181452440022972,-0.06048561665783849,-0.07054553106286937
sparse_00,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",0.0,0.0,-0.3535533905932738,-0.3535533905932738,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,-0.3535533905932738
sparse_01,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.3535533905932738,0.0,0.0,-0.3535533905932738,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,-0.3535533905932738,-0.3535533905932738,0.0,0.0
sparse_02,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3535533905932738,0.3535533905932738,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.3535533905932738,0.0,0.0,0.0,-0.3535533905932738,0.0,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0
sparse_03,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",0.0,0.0,0.3535533905932738,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,-0.3535533905932738,0.3535533905932738,-0.3535533905932738
sparse_04,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",-0.3535533905932738,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3535533905932738,0.0,0.3535533905932738,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0
sparse_05,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",0.0,0.0,0.0,0.3535533905932738,0.0,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3535533905932738,0.3535533905932738,0.0,-0.3535533905932738,0.0,0.0,0.0,-0.3535533905932738,0.0,0.3535533905932738,0.0,0.0,0.0,0.0
sparse_06,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,-0.3535533905932738,0.0,0.0,-0.3535533905932738,0.0,0.0,-0.3535533905932738,-0.3535533905932738,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse_07,sparse_geometry,outcome-blind deterministic geometry,"[0.08, 0.15]",0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.0,-0.3535533905932738,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0
dense_00,dense_geometry,outcome-blind deterministic geometry,[0.15],0.10003440855434383,0.027635777753675837,-0.08032110295451787,0.1352332719122873,0.02419778017688743,0.08944057136894928,0.12691477556261266,-0.0963382492070631,0.0835611852449723,-0.18380752156410624,-0.15732586653646888,0.0017902912633998998,0.3539599857314049,-0.14370503198482773,-0.18982319419215596,0.04862174765761236,0.0338765147268126,0.08196065299314946,0.07228175908303248,-0.00724349384232662,-0.020337370300719675,-0.011366565466656755,-0.1636732843178892,-0.20667667981873322,0.2826893967882484,0.2983890889879339,0.154160609453901,0.4371387521814463,-0.06102774643699898,-0.20025342808161006,-0.20226200353124293,-0.10111362422369782,-0.08317161738597587,0.05797108988275757,-0.038990099109053725,-0.006444677249625268,-0.112604076739996,-0.038960053185732695,-0.304411973194029
dense_01,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.1036678081876743,-0.11363254434223342,0.06532352620662712,0.11809051943596054,0.053271768724896834,0.11812438918291049,0.04922991747822757,-0.00559752925510233,-0.004166557608802427,-0.09099938721082873,-0.03158797273374335,0.015354087500109333,0.1860456911631598,-0.36268334508326394,0.05491413527458379,0.11499998084700053,0.16747644215490212,-0.141948986810141,0.17519055457199248,0.05693051014523224,-0.6098069160222804,0.09314843546035384,0.25385004115143306,0.12234623525814628,-0.09904391650784992,-0.11117376613068024,-0.1224961241589487,0.11093276013931548,0.09470321037866415,0.1057762727390417,-0.20671376700379573,-0.136598651488698,0.05501645936255896,-0.021220550289632503,-0.07180404076051787,-0.007140439430520568,-0.08007485911904225,0.08127229808134355,0.22835992688729578
dense_02,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.02666972391312752,-0.16891953248969618,-0.1606728843519402,0.13623479038552697,-0.18570812284670313,-0.1520605613872206,0.24093855966261765,0.1743735909326852,0.3193720924961014,0.003306444022964783,0.18088780131898288,0.08977651218653811,0.100304684078915,0.08624763590629982,0.33185645924241736,-0.18971467116154608,-0.007467439091089933,-0.26499076141357797,-0.09129191598359282,0.11202759167509212,-0.22152068086765353,-0.1584991826062161,-0.14936920719414506,-0.16253084960239597,-0.0018912584917000173,-0.06899954973329991,0.17043957844340724,-0.23413209186572337,0.030747350852011992,0.02916142887025436,-0.19665181510529933,0.26393502285990456,-0.08340015307078594,0.04773130739168156,0.16707954476058348,0.0803198921564162,-0.03376413981771832,0.08702819734950505,-0.09351394359847372
dense_03,dense_geometry,outcome-blind deterministic geometry,[0.15],0.11503544331663466,0.0522730899497457,0.029517628607113773,-0.1518002309236982,0.19730308714912162,-0.20623452615935065,0.11409409539836009,-0.4030781040218803,-0.12694810434599785,0.2755323440659906,0.052388458704270856,-0.3888449100628278,0.1663458994186277,-0.07276456939575374,0.32271241942874357,-0.1898756860521571,0.2776324442196577,-0.036829271305964764,0.03323659129328236,0.029422291749381116,0.03599857191293602,-0.09329483994251728,-0.08295459643375755,-0.0808121206347093,0.22362457359134574,0.046925019584983414,0.08620292644857663,0.003744864132969134,0.02840420088456023,0.10993745893360642,-0.10670712741689252,0.06267257884910468,-0.09909719865336028,-0.04330980077758519,0.1042893277396346,-0.16614729591969216,0.05048374172270147,-0.1970747974305016,0.027996122375298364
dense_04,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.01680415558291767,-0.009362387858772593,-0.3204510294201041,0.09638727869721313,-0.1020411623510218,-0.18298123879676662,-0.17091755991114116,-0.0965064898074152,0.05959277230506008,0.13063436343722284,0.03293872022939744,-0.03968122265926147,0.07964334276277209,0.07444322879307975,-0.07511101618927857,0.14228379466886154,0.050402626341857416,-0.3528302208630551,-0.2758294146706476,0.2729944642618401,0.10752334059293205,0.028927153748537437,0.07363325642482162,0.12469910635447555,0.2075917671369395,-0.14191861987413001,-0.32071539754508027,0.24370590575581824,-0.05653038758636443,-0.0717532981557354,0.25949786755867665,0.17903340865355605,-0.09341086393039463,-0.07611920305969938,-0.060101984954974395,0.20981128785281303,0.0895217687203868,0.12193644387732988,-0.12213624495683055
dense_05,dense_geometry,outcome-blind deterministic geometry,[0.15],-0.07600043540755279,0.07245325092346354,0.036296471981926204,-0.03220136613957337,0.10863915198773265,-0.16809215007297199,0.16995435775534276,-0.19174622902782187,0.24049942741966635,0.07760684578644461,0.38840464880532766,0.08907920829197195,-0.03918653660047941,-0.40857829418157,-0.20133717264346165,-0.11114799597531316,0.004064558684020729,0.006868256354650325,-0.014826282138560201,0.013016327540590544,-0.20145912161110352,-0.10518633775395492,-0.22212103143724835,0.16610311361986263,-0.0537567751367933,-0.006463098866370221,0.2454765953552224,0.23083124726573237,-0.30028739063154825,0.08805115928272561,0.2423167605319974,-0.097107952108232,-0.030948302191405475,0.013950169567304155,0.0807186680288035,0.042173162542200444,-0.06599581834059445,-0.07074273336909562,0.08068164190866467
