continuation_id,role,selection_tranche,fit_budget,referee_holdout,prefix_repeat_seed,data_seed,direction_id,direction_family,direction_outcome_status,sign,target_hellinger,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,phase_1_support_cap,total_support_cap
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_synth_qa,316,0.154296875,0.373722103271626,1.3228675132694745,3.3385043366517264
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,dolmino_synth_thinking,37,0.01806640625,0.5781629085968317,6.7672680940978855,21.18642749409473
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_arxiv,67,0.03271484375,1.4792656774790571,9.191919978715855,28.953842953981127
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/art_and_design_high,14,0.0068359375,0.07644939576839285,2.7464690588686658,9.086179032045354
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/art_and_design_low,7,0.00341796875,0.09417533542870346,5.33472773227391,15.1945850326734
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/crime_and_law_high,41,0.02001953125,0.16633367428579612,2.8641689185407184,6.7031512182726285
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/crime_and_law_low,23,0.01123046875,0.20772015242140912,4.233630017403927,11.242841081068676
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/education_and_jobs_high,21,0.01025390625,0.05210664281651752,1.7128192461873093,5.532161203685466
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/education_and_jobs_low,20,0.009765625,0.10131280684878104,3.752006254127114,7.411329770360684
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/electronics_and_hardware_high,48,0.0234375,0.22572877818372408,2.177503087250788,6.261217930594374
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/electronics_and_hardware_low,8,0.00390625,0.08003953525272287,3.5572692537793955,10.48159517050724
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/entertainment_high,26,0.0126953125,0.03828319805248617,1.5722384864397412,3.932529010266612
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/entertainment_low,19,0.00927734375,0.07687613354741281,2.5319940124119213,8.406276377870158
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/finance_and_business_high,69,0.03369140625,0.07908200833297943,1.311783810434791,2.768739380142504
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/finance_and_business_low,10,0.0048828125,0.024053224616426803,1.9523976870420865,3.5511794688992504
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/food_and_dining_high,18,0.0087890625,0.06568756008561895,2.9578153350016176,4.616706220985414
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/food_and_dining_low,5,0.00244140625,0.037070076155808894,3.185383375609119,9.65095163254229
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/games_high,21,0.01025390625,0.05794554016286941,1.8176807938748492,5.276774771043717
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/games_low,4,0.001953125,0.029438966160433618,3.0851489808841954,12.171025996870545
