run_name,target_family,noise_mode,aggregate_mean_theta,accuracy_reference,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
run_00089,eval_bpb_irt,variable,0.20648083193762304,0.35346720566873113,1.0523589844500518,-0.4195300848543893,-0.4990650555773468,0.33694579787537654,-0.26366754764831324,1.0318428973803593
run_00197,eval_bpb_irt,variable,0.20215748976417938,0.34672570132898367,0.44306335118518125,-0.0508002475833485,0.18216818697143802,0.5083503838264684,-0.28058758539664347,0.41075084958198077
run_00146,eval_bpb_irt,variable,0.19430997585861642,0.3456659497457782,1.288457139581346,0.9365837846310804,-1.4198746772450839,-1.5770470934623828,0.2905680514891024,1.6471726501576363
run_00025,eval_bpb_irt,variable,0.19248245395596766,0.339945364934735,0.9249383369661913,-1.1765275859125843,1.2963391587318502,-0.46203384509136525,0.6828659151780764,-0.11068725613636221
run_00160,eval_bpb_irt,variable,0.19182565164179954,0.3436533456649712,0.9739951600215746,-0.7466479019158736,0.30711112340509683,-1.156747531688019,0.5036891324506036,1.2695539275774146
run_00192,eval_bpb_irt,variable,0.18434526847039345,0.3468337898276179,-0.26222024091856977,-0.524509118512812,0.38422824772918235,0.6275156419710781,-0.4046027085119397,1.2856597890654218
run_00178,eval_bpb_irt,variable,0.18342023717682676,0.347726907600729,0.13142924904918424,2.1714957029591035,1.49459884487957,0.41053573637346197,-2.642663479161951,-0.4648746310384083
run_00150,eval_bpb_irt,variable,0.17850761508856638,0.3511994917530332,-0.4134591570839747,1.4185237811203937,-1.1933830825585596,-0.7307162046818239,0.5377479295852063,1.4523324241501565
run_00235,eval_bpb_irt,variable,0.17846725366273883,0.34899547344240356,1.1290876152695162,-0.6640336646465366,-0.9937198856847236,0.45404566825080567,0.07474726224077835,1.070676526546593
run_00070,eval_bpb_irt,variable,0.17683176230863373,0.34682648551100503,1.4886763715824363,-0.3053870051533048,-2.2224768420596286,0.16937261093198488,1.3700284317895601,0.5607770067607545
run_00182,eval_bpb_irt,variable,0.17621888967102026,0.3494313386889464,1.3880473094330048,0.6477531027004929,-0.07097164319311595,0.17953557172634763,-0.7320755207634634,-0.35497548187714456
run_00214,eval_bpb_irt,variable,0.17288233027667532,0.3501976552127591,1.0412129159137127,0.5494488249605235,-0.7663104974903255,-0.5354025559604486,0.22937961396533377,0.5189656802712562
run_00103,eval_bpb_irt,variable,0.17158583089513402,0.34825535198469637,-1.1913323458301763,-0.5458443617338807,0.43793505123206616,1.6410746510939176,-0.22812100640403804,0.9158029970129153
run_00104,eval_bpb_irt,variable,0.17064928701759152,0.3517441995496828,0.9561085223311265,1.1023552788377293,-1.7858645082653901,0.8699518721452806,-0.6846768043426517,0.5660213613994545
run_00213,eval_bpb_irt,variable,0.16778404410905026,0.3463583334977971,-0.2660265955154625,-1.7446753586465185,1.277005483445402,0.5618048969201328,1.174365813868738,0.004230024582009792
run_00093,eval_bpb_irt,variable,0.16416972750645642,0.3445524915821973,0.0877490611702002,0.030607666943320712,1.1928427652612459,-0.7576614379776871,0.6494925403661236,-0.21801223072446474
run_00158,eval_bpb_irt,variable,0.163992355264335,0.3379898296056052,-1.4137656548610822,-2.1611819516420727,1.5201724375205659,0.37861629196114926,2.2684500995220787,0.39166290908537116
run_00203,eval_bpb_irt,variable,0.15981914465402494,0.3502581707655736,0.9832879392610914,-0.1342993025059046,0.030907661569617346,0.45753799049084865,0.08092565415838848,-0.45944507504989157
run_00204,eval_bpb_irt,variable,0.1517134644881729,0.3486040969103248,0.6089398489158753,1.5420043478018648,-0.31719762903076604,-0.6060709618275804,0.44010948183268905,-0.7575043007630449
run_00040,eval_bpb_irt,variable,0.1501222374667786,0.34323551701415356,0.4105688381804112,0.6728863399100469,0.32848139190713493,-1.8399482100828914,0.6427525399616255,0.6859925249243446
run_00212,eval_bpb_irt,variable,0.1492220750697835,0.3422978709185279,1.0165768588055066,-2.0863628019058753,0.3348147128842608,0.5908452946954044,-0.0872060290096672,1.1266644149490717
run_00177,eval_bpb_irt,variable,0.14906973507243673,0.3461414112792717,-0.24348343556434762,-0.12113583088681847,0.579768755166833,1.534559629266819,0.7852278997748787,-1.6405186073227442
run_00078,eval_bpb_irt,variable,0.14648063165357292,0.34048416726450287,0.005754771955079102,-0.1484477626147058,1.3994725941412045,0.10193231387008829,-0.5768578110276854,0.09702968359745667
run_00180,eval_bpb_irt,variable,0.14603728382503756,0.3498758376282946,1.9649494080314676,-0.5412436107551948,1.4858636466345094,-1.3585208401335842,-0.8375663932958411,0.16274149246886854
run_00069,eval_bpb_irt,variable,0.14353873206666828,0.34637538519342037,-0.12293481397423384,-0.8037077012615468,0.9083864914493581,0.0719524838887217,-0.2730369939980261,1.0805729262957366
run_00129,eval_bpb_irt,variable,0.14298101848783548,0.3463677557632906,0.8700701118447176,-0.326291155140387,-0.1926042899450097,-0.874485117267891,-0.13628751468986997,1.5174840761254529
