candidate_id,candidate_kind,target,opt_kind,predicted_proxy_metric,predicted_proxy_gain_vs_best_observed,nearest_observed_run_name,nearest_observed_tv,nearest_observed_choice,nearest_observed_accuracy,nearest_observed_primary_regret,best_observed_choice,best_observed_accuracy,raw_phase0_broad_text_share,raw_phase0_tech_code_share,raw_phase0_reasoning_share,raw_phase0_support_gt_1e4,raw_phase0_entropy,raw_phase1_broad_text_share,raw_phase1_tech_code_share,raw_phase1_reasoning_share,raw_phase1_support_gt_1e4,raw_phase1_entropy,anchor_run_name,hull_nonzero_coeff_count,hull_top_coeffs,tv_cap_from_hull,delta_to_raw,raw_hull_tv
eval_bpb_irt_fixed_accuracy_weighted_theta,direct_grp_irt_target,eval_bpb_irt_fixed_accuracy_weighted_theta,trustblend_top8actual_to_raw_cap0.05,2.022389948423822,0.33216226711915997,baseline_proportional,0.12153005774255327,1.6959713943664965,0.3543636924722194,0.0,1.6959713943664965,0.3543636924722194,0.8919876058882106,0.0956686241077478,0.012343770004039568,39,3.2897553613129578,0.9370536690653425,0.05207945558836364,0.010866875346292035,39,3.1995998780070365,,,,0.05,0.0525,0.9097861717855558
eval_bpb_irt_fixed_accuracy_weighted_theta,direct_grp_irt_target,eval_bpb_irt_fixed_accuracy_weighted_theta,trustblend_top8actual_to_raw_cap0.10,2.198762807432306,0.5085351261276436,baseline_proportional,0.15818678988205437,1.6959713943664965,0.3543636924722194,0.0,1.6959713943664965,0.3543636924722194,0.8947716945132862,0.09360105886780054,0.01162724661891144,39,3.2216778242893573,0.9407075457950584,0.049056373733630185,0.010236080471309614,39,3.1292435727121526,,,,0.1,0.1075,0.9097861717855558
eval_bpb_irt_fixed_accuracy_weighted_theta,direct_grp_irt_target,eval_bpb_irt_fixed_accuracy_weighted_theta,trustblend_top8actual_to_raw_cap0.15,2.3754245227041273,0.6851968413994651,baseline_proportional,0.19852231010442123,1.6959713943664965,0.3543636924722194,0.0,1.6959713943664965,0.3543636924722194,0.8975557831383618,0.09153349362785328,0.010910723233783316,39,3.136249270067897,0.9443614225247744,0.04603329187889674,0.009605285596327194,39,3.039117982197109,,,,0.15,0.1625,0.9097861717855558
eval_bpb_irt_fixed_accuracy_weighted_theta,direct_grp_irt_target,eval_bpb_irt_fixed_accuracy_weighted_theta,trustblend_top8actual_to_raw_cap0.20,2.552223314143181,0.8619956328385188,baseline_proportional,0.24042715871400253,1.6959713943664965,0.3543636924722194,0.0,1.6959713943664965,0.3543636924722194,0.9003398717634371,0.089465928387906,0.010194199848655189,39,3.0366254235745056,0.9480152992544902,0.043010210024163296,0.008974490721344772,39,2.933092184469306,,,,0.2,0.2175,0.9097861717855558
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,best_observed,0.45502888070479885,0.0,run_00221,0.0,0.9077441018579441,0.34913576460116713,0.0,0.9077441018579441,0.34913576460116713,0.7250488635287483,0.19976173206601577,0.0751894044052344,38,3.269190196442122,0.7260606497952431,0.14004273690954322,0.1338966132952119,39,3.1471363595993,run_00221,,,,,
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,predicted_best_observed,0.7246280269223306,0.2695991462175318,run_00162,0.0,0.6634541061525561,0.3525550037874453,0.244289995705388,0.9077441018579441,0.34913576460116713,0.622385562939906,0.3110669485030247,0.0665474885570678,39,3.1435870032435123,0.6907701848279173,0.2134853328127767,0.0957444823593044,37,3.2532312084645905,run_00162,,,,,
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,raw,3.379479447420166,2.9244505667153673,run_00123,0.7831212702839041,0.23571537600187403,0.3526235439835675,0.67202872585607,0.9077441018579441,0.34913576460116713,0.8563103256693194,0.14368964251593594,3.1814744664102744e-08,8,1.1039708852407313,0.9261953242588652,0.06691241014934898,0.006892265591785925,8,0.8704629193476155,,,,,,
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,top8actual_hull,0.8491014145060887,0.3940725338012898,baseline_stratified,0.22200125545605723,0.7348088321037597,0.3465511486441589,0.17293526975418438,0.9077441018579441,0.34913576460116713,0.752202274491988,0.2139233919949256,0.03387433351308462,39,3.506613393211067,0.8273503978441954,0.12236184681227266,0.05028775534353029,39,3.4997085594190334,,5.0,"[0.339787629112397, 0.3354903702904142, 0.17803770768022206, 0.12762375496650674]",,,
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.05,1.0350170072230873,0.5799881265182885,baseline_stratified,0.2342275185658766,0.7348088321037597,0.3465511486441589,0.17293526975418438,0.9077441018579441,0.34913576460116713,0.7581884874346844,0.20988495139988367,0.03192656116543008,39,3.500191993856042,0.8330339811130391,0.11917350420415455,0.047792514682804994,39,3.454744199299452,,,,0.05,0.0575,0.8477621976318997
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.10,1.2203526227243846,0.7653237420195858,baseline_stratified,0.2532411806716327,0.7348088321037597,0.3465511486441589,0.17293526975418438,0.9077441018579441,0.34913576460116713,0.7644349705053243,0.20567092643114426,0.02989410306352968,39,3.457954293410212,0.8389646766979189,0.11584653800437915,0.04518878529770033,39,3.3891273025809854,,,,0.1,0.11750000000000001,0.8477621976318997
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.15,1.3915913689259338,0.936562488221135,baseline_stratified,0.27430683232288694,0.7348088321037597,0.3465511486441589,0.17293526975418438,0.9077441018579441,0.34913576460116713,0.7704211834480207,0.20163248583610238,0.027946330715875132,39,3.396885668773701,0.8446482599667626,0.11265819539626101,0.04269354463697503,39,3.311653777940678,,,,0.15,0.17500000000000002,0.8477621976318997
task_proxy_irt_fixed_aggregate_mean_theta,direct_grp_irt_target,task_proxy_irt_fixed_aggregate_mean_theta,trustblend_top8actual_to_raw_cap0.20,1.5647111537706313,1.1096822730658324,baseline_stratified,0.3001032885397848,0.7348088321037597,0.3465511486441589,0.17293526975418438,0.9077441018579441,0.34913576460116713,0.7766676665186607,0.19741846086736298,0.025913872613974737,39,3.316821165684257,0.8505789555516426,0.10933122919648561,0.04008981525187037,39,3.2176122877490885,,,,0.2,0.23500000000000001,0.8477621976318997
task_proxy_irt_fixed_theta_1,direct_grp_irt_target,task_proxy_irt_fixed_theta_1,best_observed,1.2563882839028544,0.0,run_00221,0.0,2.710796530888473,0.34913576460116713,0.0,2.710796530888473,0.34913576460116713,0.7250488635287483,0.19976173206601577,0.0751894044052344,38,3.269190196442122,0.7260606497952431,0.14004273690954322,0.1338966132952119,39,3.1471363595993,run_00221,,,,,
task_proxy_irt_fixed_theta_1,direct_grp_irt_target,task_proxy_irt_fixed_theta_1,predicted_best_observed,1.6878979547735682,0.4315096708707138,run_00052,0.0,2.1345123054250457,0.347295772544393,0.5762842254634273,2.710796530888473,0.34913576460116713,0.8760542771155108,0.1086683419920454,0.0152773808924417,39,3.2015230903011447,0.8554727451307359,0.07423566057080411,0.0702915942984583,39,3.140966391623556,run_00052,,,,,
task_proxy_irt_fixed_theta_1,direct_grp_irt_target,task_proxy_irt_fixed_theta_1,raw,3.0914353177504044,1.83504703384755,baseline_stratified,0.3476825269861826,0.3433320438209462,0.3465511486441589,2.3674644870675268,2.710796530888473,0.34913576460116713,0.7948717948717707,0.1538461538461491,0.05128205128208047,39,3.6635616461296476,0.7248603617719331,0.06670862031394412,0.20843101791412266,14,2.24383105079342,,,,,,
