run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
r22,10,2026-09-20T00:29:54+00:00,val-math500,500,17,0.034,17,-0.932,0.602,0.398,2745.84,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r22,20,2026-09-20T00:50:37+00:00,all,756,129,0.17063492063492064,129,-0.4669312169312169,0.708994708994709,0.291005291005291,2294.542328042328,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r22,20,2026-09-20T00:50:37+00:00,val-gsm8k,256,111,0.43359375,111,0.43359375,0.93359375,0.06640625,1332.8984375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r22,20,2026-09-20T00:50:37+00:00,val-math500,500,18,0.036,18,-0.928,0.594,0.406,2786.904,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r22,30,2026-09-20T01:11:05+00:00,all,756,188,0.24867724867724866,188,-0.33465608465608465,0.6917989417989417,0.3082010582010582,2271.3002645502647,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r22,30,2026-09-20T01:11:05+00:00,val-gsm8k,256,129,0.50390625,129,0.50390625,0.9296875,0.0703125,1256.53515625,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r22,30,2026-09-20T01:11:05+00:00,val-math500,500,59,0.118,59,-0.764,0.57,0.43,2790.86,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r22,40,2026-09-20T01:33:39+00:00,all,756,293,0.38756613756613756,293,-0.08862433862433862,0.716931216931217,0.2830687830687831,2161.7526455026455,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r22,40,2026-09-20T01:33:39+00:00,val-gsm8k,256,153,0.59765625,153,0.59765625,0.921875,0.078125,1164.95703125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r22,40,2026-09-20T01:33:39+00:00,val-math500,500,140,0.28,140,-0.44,0.612,0.388,2672.112,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r23,0,2026-09-19T23:55:32+00:00,all,756,75,0.0992063492063492,76,-0.5423280423280423,0.7037037037037037,0.2962962962962963,2308.7883597883597,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r23,0,2026-09-19T23:55:32+00:00,val-gsm8k,256,62,0.2421875,62,0.2421875,0.890625,0.109375,1390.40234375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r23,0,2026-09-19T23:55:32+00:00,val-math500,500,13,0.026,14,-0.944,0.608,0.392,2779.002,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r23,10,2026-09-20T00:00:00+00:00,all,756,103,0.13624338624338625,104,-0.5013227513227513,0.7116402116402116,0.28835978835978837,2280.30291005291,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r23,10,2026-09-20T00:00:00+00:00,val-gsm8k,256,87,0.33984375,87,0.33984375,0.921875,0.078125,1329.73828125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r23,10,2026-09-20T00:00:00+00:00,val-math500,500,16,0.032,17,-0.932,0.604,0.396,2766.992,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r23,20,2026-09-20T00:04:50+00:00,all,756,129,0.17063492063492064,132,-0.4642857142857143,0.7116402116402116,0.28835978835978837,2212.5343915343915,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r23,20,2026-09-20T00:04:50+00:00,val-gsm8k,256,114,0.4453125,115,0.44921875,0.89453125,0.10546875,1271.73828125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r23,20,2026-09-20T00:04:50+00:00,val-math500,500,15,0.03,17,-0.932,0.618,0.382,2694.222,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r23,30,2026-09-20T00:42:21+00:00,all,756,182,0.24074074074074073,182,-0.3558201058201058,0.7156084656084656,0.2843915343915344,2088.4021164021165,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r23,30,2026-09-20T00:42:21+00:00,val-gsm8k,256,133,0.51953125,133,0.51953125,0.94921875,0.05078125,981.9140625,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r23,30,2026-09-20T00:42:21+00:00,val-math500,500,49,0.098,49,-0.804,0.596,0.404,2654.924,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r23,40,2026-09-20T00:47:19+00:00,all,756,301,0.39814814814814814,303,-0.05423280423280423,0.7156084656084656,0.2843915343915344,2118.8161375661375,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r23,40,2026-09-20T00:47:19+00:00,val-gsm8k,256,147,0.57421875,147,0.57421875,0.9375,0.0625,1071.69140625,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r23,40,2026-09-20T00:47:19+00:00,val-math500,500,154,0.308,156,-0.376,0.602,0.398,2654.944,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
