suite,prompt_sha16,position,scenario,topk,tis_cap,behavior_tail_mass,current_tail_mass,behavior_cap_mass,behavior_log_ratio_abs_mean,exact_gradient_l1,exact_gradient_l2,error_l1,error_l2,relative_error_l1
val-math500,2e483202419b799c,answer256,calibrated_0.016,8,1.001,2.4172937639353754e-08,0.015777753212284758,5.528575076056666e-07,0.01600063311610518,0.0310582026410281,0.017720637453963045,4.7630749043595007e-08,2.7171151226036437e-08,1.5335964413045093e-06
val-math500,2e483202419b799c,answer256,calibrated_0.016,8,1.05,2.4172937639353754e-08,0.015777753212284758,5.528575058649352e-07,0.01600063311610518,0.031058149315878275,0.017720614201549023,4.996231833722317e-08,2.8501363612777844e-08,1.608670169915123e-06
val-math500,2e483202419b799c,answer256,calibrated_0.016,8,2.0,2.4172937639353754e-08,0.015777753212284758,2.269152001082714e-12,0.01600063311610518,0.031057631415335282,0.017720376577295617,9.516621335571413e-08,5.4291231781817e-08,3.0641812984078383e-06
val-math500,2e483202419b799c,answer256,calibrated_0.016,32,1.001,1.935528321041393e-10,0.015777753209232772,5.528575076056666e-07,0.01600063311610518,0.0310582026410281,0.017720637453963045,3.8143965901842304e-10,2.1501911360743636e-10,1.2281446657654897e-08
val-math500,2e483202419b799c,answer256,calibrated_0.016,32,1.05,1.935528321041393e-10,0.015777753209232772,5.528575058649352e-07,0.01600063311610518,0.031058149315878275,0.017720614201549023,4.0011050657291666e-10,2.255722984271836e-10,1.2882625506870198e-08
val-math500,2e483202419b799c,answer256,calibrated_0.016,32,2.0,1.935528321041393e-10,0.015777753209232772,2.269152001082714e-12,0.01600063311610518,0.031057631415335282,0.017720376577295617,7.620950138330251e-10,4.302094331846327e-10,2.4538091898943928e-08
val-math500,2e483202419b799c,answer256,calibrated_0.016,128,1.001,2.0041127303694567e-11,0.01577775310284274,5.528575076056666e-07,0.01600063311610518,0.0310582026410281,0.017720637453963045,3.9504123197239945e-11,2.185386613290927e-11,1.271938484458683e-09
val-math500,2e483202419b799c,answer256,calibrated_0.016,128,1.05,2.0041127303694567e-11,0.01577775310284274,5.528575058649352e-07,0.01600063311610518,0.031058149315878275,0.017720614201549023,4.143764004261632e-11,2.2928485599338605e-11,1.3341954029898234e-09
val-math500,2e483202419b799c,answer256,calibrated_0.016,128,2.0,2.0041127303694567e-11,0.01577775310284274,2.269152001082714e-12,0.01600063311610518,0.031057631415335282,0.017720376577295617,7.892404166813628e-11,4.379809887672974e-11,2.5412125159411246e-09
val-math500,2e483202419b799c,answer256,calibrated_0.05,8,1.001,2.4172937639353754e-08,0.04867664826339639,5.528575061239648e-07,0.05000192723759132,0.09261493234269971,0.052921564488367254,4.603895366732651e-08,2.6302882729705132e-08,4.971007644530821e-07
val-math500,2e483202419b799c,answer256,calibrated_0.05,8,1.05,2.4172937639353754e-08,0.04867664826339639,5.528575040631827e-07,0.05000192723759132,0.0926148808000125,0.05292154229093791,4.82925952129035e-08,2.759055027665205e-08,5.214345124212153e-07
val-math500,2e483202419b799c,answer256,calibrated_0.05,8,2.0,2.4172937639353754e-08,0.04867664826339639,2.2691513304472217e-12,0.05000192723759132,0.09261446434049289,0.0529213276165212,9.198564199168268e-08,5.255556761635784e-08,9.932103224556978e-07
val-math500,2e483202419b799c,answer256,calibrated_0.05,32,1.001,1.935528321041393e-10,0.048676648261172,5.528575061239648e-07,0.05000192723759132,0.09261493234269971,0.052921564488367254,3.6889523635823657e-10,2.0821861767084852e-10,3.98310755109367e-09
val-math500,2e483202419b799c,answer256,calibrated_0.05,32,1.05,1.935528321041393e-10,0.048676648261172,5.528575040631827e-07,0.05000192723759132,0.0926148808000125,0.05292154229093791,3.869500958862411e-10,2.1843563288212889e-10,4.178055324843531e-09
val-math500,2e483202419b799c,answer256,calibrated_0.05,32,2.0,1.935528321041393e-10,0.048676648261172,2.2691513304472217e-12,0.05000192723759132,0.09261446434049289,0.0529213276165212,7.369898497889419e-10,4.1655502952981285e-10,7.957610671691973e-09
val-math500,2e483202419b799c,answer256,calibrated_0.05,128,1.001,2.0041127303694567e-11,0.048676648139448234,5.528575061239648e-07,0.05000192723759132,0.09261493234269971,0.052921564488367254,3.8237117799783265e-11,2.1170662033233807e-11,4.128612614896249e-10
val-math500,2e483202419b799c,answer256,calibrated_0.05,128,1.05,2.0041127303694567e-11,0.048676648139448234,5.528575040631827e-07,0.05000192723759132,0.0926148808000125,0.05292154229093791,4.01081238740346e-11,2.2211223341952027e-11,4.33063493982591e-10
val-math500,2e483202419b799c,answer256,calibrated_0.05,128,2.0,2.0041127303694567e-11,0.048676648139448234,2.2691513304472217e-12,0.05000192723759132,0.09261446434049289,0.0529213276165212,7.638319118009405e-11,4.242274764894355e-11,8.247436480253743e-10
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,8,1.001,0.00047494403156764025,0.0004682643171359544,6.927204506756662e-05,4.1251984895851786e-05,1.4688314228463524e-06,7.403153015776093e-07,1.468831419400976e-06,7.403152981672139e-07,0.9999999976543419
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,8,1.05,0.00047494403156764025,0.0004682643171359544,4.541302481148433e-09,4.1251984895851786e-05,2.8505244555735874e-11,1.747551728664948e-11,2.8501798695822395e-11,1.7472713459030185e-11,0.999879114879834
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,8,2.0,0.00047494403156764025,0.0004682643171359544,0.0,4.1251984895851786e-05,3.4458599469121148e-15,3.4416918427407124e-15,0.0,0.0,
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,32,1.001,0.0003364538798454076,0.0003325548500008698,6.927204506756662e-05,4.1251984895851786e-05,1.4688314228463524e-06,7.403153015776093e-07,1.3233162443255395e-06,6.643968658146117e-07,0.9009313279540081
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,32,1.05,0.0003364538798454076,0.0003325548500008698,4.541302481148433e-09,4.1251984895851786e-05,2.8505244555735874e-11,1.747551728664948e-11,2.8501798695822395e-11,1.7472713459030185e-11,0.999879114879834
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,32,2.0,0.0003364538798454076,0.0003325548500008698,0.0,4.1251984895851786e-05,3.4458599469121148e-15,3.4416918427407124e-15,0.0,0.0,
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,128,1.001,0.0002476635496243785,0.00024509261685352776,6.927204506756662e-05,4.1251984895851786e-05,1.4688314228463524e-06,7.403153015776093e-07,9.277636096570088e-07,4.6422624937514853e-07,0.6316338248395832
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,128,1.05,0.0002476635496243785,0.00024509261685352776,4.541302481148433e-09,4.1251984895851786e-05,2.8505244555735874e-11,1.747551728664948e-11,2.8501798695822395e-11,1.7472713459030185e-11,0.999879114879834
val-math500,b1fef3f21d36ff6d,prompt,real_base_to_step8,128,2.0,0.0002476635496243785,0.00024509261685352776,0.0,4.1251984895851786e-05,3.4458599469121148e-15,3.4416918427407124e-15,0.0,0.0,
val-math500,b1fef3f21d36ff6d,prompt,calibrated_0.016,8,1.001,0.00047494403156764025,0.006816671495320561,0.0007320530415600153,0.016000026494207436,0.028254912193558156,0.016138374477491446,0.0007750010034483731,0.00033056889081927484,0.027428894421588957
val-math500,b1fef3f21d36ff6d,prompt,calibrated_0.016,8,1.05,0.00047494403156764025,0.006816671495320561,0.0007277928386090535,0.016000026494207436,0.02818456750143257,0.01610606973394429,0.0008128995315835811,0.0003488798636819307,0.02884200836299024
val-math500,b1fef3f21d36ff6d,prompt,calibrated_0.016,8,2.0,0.00047494403156764025,0.006816671495320561,0.0006933296149170804,0.016000026494207436,0.026858643999570296,0.015506836160069431,0.0015474236455510198,0.0007196028585988543,0.05761361763370394
val-math500,b1fef3f21d36ff6d,prompt,calibrated_0.016,32,1.001,0.0003364538798454076,0.002905647425652934,0.0007320530415600153,0.016000026494207436,0.028254912193558156,0.016138374477491446,0.0005231084023026261,0.0001724746518678086,0.018513892335573767
val-math500,b1fef3f21d36ff6d,prompt,calibrated_0.016,32,1.05,0.0003364538798454076,0.002905647425652934,0.0007277928386090535,0.016000026494207436,0.02818456750143257,0.01610606973394429,0.0005487025429344286,0.00018321409387884685,0.01946819098453574
