run,step,iris_job_index,iris_attempt,consumed_tokens,cumulative_consumed_tokens,step_seconds,cumulative_cycle_seconds,nominal_cycle_gpu_hours,age_mean,age_p90,age_at_least_four_fraction,stale_rejected,rejected_rate,mismatch_log_ratio_abs_mean,tis_capped_fraction,correction_abs_mean,policy_entropy,response_bytes_mean,length_stop_fraction
r19,11,0,0,363785.0,3546974.0,63.59997195843607,1492.2168522803113,6.632074899023606,4.871501023956458,5.0,0.9571670079854859,0,0.0,0.014829696661571733,4.985641226085136e-06,,0.4562694728374481,1325161.803167421,0.4453125
r19,12,0,0,317706.0,3864680.0,70.04816402401775,1562.265016304329,6.943400072463684,5.051569690216741,5.0,1.0,0,0.0,0.014350140063259994,1.9073486328125e-06,,0.4348105750977993,9281488.46875,0.328125
r19,13,0,0,366534.0,4231214.0,70.24750358611345,1632.5125198904425,7.255611199513078,5.044699809567462,5.0,1.0,0,0.0,0.015569060678792672,0.0,,0.4805867001414299,11060643.96875,0.515625
r19,14,0,0,357043.0,4588257.0,115.45755579415709,1747.9700756845996,7.768755891931554,5.044608072417048,5.0,1.0,0,0.0,0.0152662574069873,6.871151981613366e-06,,0.47507182508707047,9155692.9921875,0.453125
r19,15,0,0,367486.0,4955743.0,64.98010034952313,1812.9501760341227,8.057556337929434,5.0,5.0,1.0,0,0.0,0.015042230505608505,1.9073486328125e-06,,0.4745386242866516,8874676.59375,0.515625
r19,16,0,0,299141.0,5254884.0,61.622069268487394,1874.57224530261,8.331432201344933,4.62172687796056,5.0,0.8739089593201868,0,0.0,0.01574589248145148,3.1206311632558936e-06,,0.47834862396121025,8472716.765625,0.25
r19,17,0,0,320831.0,5575715.0,57.92341406829655,1932.4956593709067,8.58886959720403,5.153202153158516,6.0,1.0,0,0.0,0.014412409761686104,3.911068188244826e-05,,0.4455868825316429,8423301.015625,0.359375
r19,18,0,0,379687.0,5955402.0,85.1949821934104,2017.690641564317,8.967513962508075,5.12463687194979,6.0,1.0,0,0.0,0.01532762876674775,2.349624082853552e-05,,0.4798278957605362,9452601.3984375,0.4765625
r19,19,0,0,323809.0,6279211.0,92.61324572470039,2110.3038872890174,9.379128387951189,5.146123177552199,6.0,1.0,0,0.0,0.01506820539751648,0.0,,0.4617662727832794,9606092.75,0.3515625
r19,20,0,0,300631.0,6579842.0,166.91308111976832,2277.2169684087858,10.120964304039047,4.9295880996969705,5.0,0.9765293665656569,0,0.0,0.015342240012276194,1.188212900160579e-05,,0.4547404497861862,8862697.5703125,0.359375
r19,21,0,0,287379.0,6867221.0,63.12148190476,2340.3384503135458,10.40150422361576,5.037741101472272,5.0,1.0,0,0.0,0.016336483264748434,1.9073486328125e-06,,0.4977457970380783,1476831.6255656108,0.3203125
r19,22,0,0,286814.0,7154035.0,134.4992881566286,2474.8377384701744,10.99927883764522,5.048595954172391,5.0,1.0,0,0.0,0.014542048291688021,0.0,,0.44071123003959656,9625765.796875,0.296875
r19,23,0,0,331012.0,7485047.0,56.324244525283575,2531.161982995458,11.249608813313147,4.969804720070571,5.0,0.9734360083622347,0,0.0,0.014571182484275679,0.0,,0.43476567417383194,9292423.03125,0.3671875
r19,24,0,0,326240.0,7811287.0,111.35081159882247,2642.5127945942804,11.744501309307912,5.037579695929377,5.0,1.0,0,0.0,0.014256910032632346,1.9073486328125e-06,,0.43571749329566956,11318517.71875,0.3984375
r19,25,0,0,307980.0,8119267.0,56.794439983554184,2699.3072345778346,11.996921042568154,5.053198259627249,5.0,1.0,0,0.0,0.014107459924442744,5.144315218785778e-05,,0.4079687334597111,9227007.90625,0.3828125
r19,26,0,0,351859.0,8471126.0,84.09699748083949,2783.404232058674,12.370685475816328,5.037745233175789,5.0,1.0,0,0.0,0.014956944186073864,1.635316084502847e-05,,0.4591500498354435,10517016.515625,0.4140625
r19,27,0,0,330729.0,8801855.0,103.24770902469754,2886.6519410833716,12.829564182592764,5.0,5.0,1.0,0,0.0,0.014907840489733232,0.0,,0.44004474952816963,9804794.2890625,0.375
r19,28,0,0,303526.0,9105381.0,64.14209650456905,2950.7940375879407,13.114640167057514,4.996234259997496,5.0,1.0,0,0.0,0.01614527728732403,0.0,,0.4963551536202431,9765294.4140625,0.3515625
