run,step,iris_job_index,iris_attempt,consumed_tokens,cumulative_consumed_tokens,step_seconds,cumulative_cycle_seconds,nominal_cycle_gpu_hours,age_mean,age_p90,age_at_least_four_fraction,stale_rejected,rejected_rate,mismatch_log_ratio_abs_mean,tis_capped_fraction,correction_abs_mean,policy_entropy,response_bytes_mean,length_stop_fraction
s20_tis,12,,,362394,4151115,90.12250887299888,1693.4579776499886,7.526479900666616,4.99698118622273,5,1,0,0,0.015619489938684119,0.056135342456400394,,0.5044044703245163,9733259.7421875,0.484375
s20_tis,13,,,340817,4491932,67.20545463099552,1760.6634322809841,7.825170810137707,5.048072719377261,5,1,0,0,0.014995486839897758,0.052064367569983006,,0.4642941504716873,9349539.7734375,0.34375
s20_tis,14,,,345484,4837416,61.7200708570017,1822.3835031379858,8.099482236168825,5,5,1,0,0,0.015136582031971511,0.05321030830964446,,0.4623035043478012,8119342.9375,0.3359375
s20_tis,15,,,327031,5164447,80.15751769099734,1902.5410208289832,8.455737870351037,5,5,1,0,0,0.014800946936463341,0.051596533972769976,,0.4464539475739002,9512596.203125,0.328125
s20_tis,16,,,334566,5499013,80.60957073401369,1983.1505915629969,8.814002629168876,4.9073277021574215,5,0.969109234052474,0,0,0.014417045943915633,0.05154746025800705,,0.44192278385162354,8086095.921875,0.3359375
s20_tis,17,,,334791,5833804,89.60179589000472,2072.7523874530016,9.212232833124451,5.0481106122924455,5,1,0,0,0.015404332194439483,0.05280504189431667,,0.4582800008356571,9253949.0390625,0.4375
s20_tis,18,,,319485,6153289,66.07447427100851,2138.82686172401,9.505897163217822,5.047986603439911,5,1,0,0,0.015581069026795092,0.05480842012912035,,0.4867779575288296,9273870.125,0.359375
s20_tis,19,,,284757,6438046,75.76780701898679,2214.594668742997,9.842642972191097,5.057536776971242,5,1,0,0,0.015770972653875916,0.05475773010402918,,0.46480903774499893,7965472.96031746,0.3515625
s20_tis,20,,,326488,6764534,170.81508716499957,2385.4097559079964,10.601821137368873,5,5,1,0,0,0.015293933907917128,0.05257459031417966,,0.4576447010040283,10225787.561538462,0.3515625
s20_tis,21,,,277606,7042140,69.26483194700268,2454.674587854999,10.909664834911107,5,5,1,0,0,0.015345158799630752,0.05278175976127386,,0.452231977134943,1448569.8054298642,0.3359375
s20_tis,22,,,318110,7360250,95.28624853500514,2549.9608363900043,11.333159272844464,5,5,1,0,0,0.014695273650892078,0.05293273413553834,,0.4429430775344372,9203008.984375,0.34375
s20_tis,23,,,318273,7678523,63.77040057600243,2613.7312369660067,11.616583275404475,5,5,1,0,0,0.015535281831872048,0.05380570609122515,,0.4652005508542061,9140384.71875,0.375
s20_tis,24,,,277421,7955944,70.397433147009,2684.1286701130157,11.929460756057848,4.965373926270902,5,1,0,0,0.01642868404059014,0.05277002230286598,,0.43442104756832123,9303353.703125,0.2890625
s20_tis,25,,,347925,8303869,88.63934990898997,2772.7680200220057,12.323413422320025,5,5,1,0,0,0.01593966104603993,0.0565047743730247,,0.5036355182528496,10323849.6640625,0.40625
s20_tis,26,,,339865,8643734,102.53452151600504,2875.3025415380107,12.779122406835603,5,5,1,0,0,0.016268205209055444,0.0569951725192368,,0.4999661333858967,9331482.0,0.3984375
s20_tis,27,,,311760,8955494,70.39738730799581,2945.6999288460065,13.09199968376003,4.754426481909161,5,0.918142160636387,0,0,0.015479422567423158,0.051832666620612144,,0.46083443239331245,9909444.828125,0.3203125
s20_tis,28,,,310576,9266070,81.29380685600336,3026.99373570201,13.453305492008933,5.0946306218123745,5,1,0,0,0.01546780386000416,0.05482730362564325,,0.4734826534986496,9936487.1640625,0.375
s20_tis,29,,,321044,9587114,137.43704805300513,3164.430783755015,14.064136816688956,5.101905034823887,6,1,0,0,0.01544698563716668,0.05366826429963112,,0.46581852436065674,10114451.2265625,0.3671875
s20_tis,30,,,359541,9946655,179.3293028629996,3343.7600866180146,14.86115594052451,5.086385141054845,5,1,0,0,0.01594230705367515,0.05559953860938549,,0.488332811743021,10842093.8671875,0.46875
s20_tis,31,,,320871,10267526,66.08978859600029,3409.849875214015,15.15488833428451,5,5,1,0,0,0.014906175297399628,0.053338341414928436,,0.4574529714882374,1268377.7850678733,0.390625
