model,split,n,rmse,mae,bias_pred_minus_actual,actual_std,pred_std,std_ratio,spearman,pearson,slope_pred_on_actual,intercept_pred_on_actual,slope_actual_on_pred,intercept_actual_on_pred,low_tail_rmse,description,feature_count,ridge,coef_l2
paper_first_order_current_source_power,seed7_train,579.0,0.0477987377192344,0.034690457717878646,3.560826122359482e-07,0.07272246108853102,0.06033317549170256,0.8296360517592225,0.8333202913529477,0.7571296268527498,0.628142034292049,0.39334046953975393,0.9126045393606924,0.09244395100727386,0.033302453121681945,First-order synergy on source-aware groups instead of all 39 domains.,16,10.0,0.05857101665857174
paper_first_order_current_source_power,seed7_holdout,61.0,0.03865230835847905,0.028257678924764516,0.017259580678589275,0.06891815131081871,0.09468196483329536,1.3738320461656415,0.913220518244315,0.9592100561454246,1.3177935141369292,-0.2869372948887069,0.6982003796043155,0.2768366268900664,0.022478974491864256,First-order synergy on source-aware groups instead of all 39 domains.,16,10.0,0.05857101665857174
paper_first_order_current_source_power,fixed340_holdout,27.0,0.019566152843485188,0.016559114674960615,-0.007943658828028787,0.017544144667071045,0.015909762781656855,0.9068417459825332,0.4835164835164835,0.43204033156621247,0.39179220861237624,0.5354065581809538,0.4764230732431864,0.4715286929570787,0.01417085926129422,First-order synergy on source-aware groups instead of all 39 domains.,16,10.0,0.05857101665857174
paper_first_order_current_source_power,random_supplement,34.0,0.048748312286388,0.03754771524078526,0.03727391793384478,0.049681088878676775,0.0676987079093318,1.3626655421070737,0.7631779984721161,0.9015238856295925,1.2284755343339213,-0.1930116093660788,0.66158852467611,0.31643238914697136,0.04498301099234506,First-order synergy on source-aware groups instead of all 39 domains.,16,10.0,0.05857101665857174
paper_first_order_current_source_power,all900_holdout,4.0,0.043426484833460864,0.04083371464339208,-0.010098154460217168,0.01834397465097202,0.04051170029615592,2.2084472458649667,0.19999999999999998,0.1304000215650208,0.28798156848600115,0.5694476048976594,0.05904602059622482,0.766483576133308,0.023374800881935,First-order synergy on source-aware groups instead of all 39 domains.,16,10.0,0.05857101665857174
paper_first_order_current_source_log,all_rows,641.0,0.04690611598573123,0.034016163976853114,0.0017199891707933865,0.07844420156998826,0.06910481610556472,0.8809423095970849,0.8572413829474951,0.8053817554643877,0.7094948637661527,0.3061389621172206,0.9142275795934285,0.08830805646669043,0.032166842153750284,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,fit_region,343.0,0.040646483299443245,0.03208332706206333,0.029765502907428004,0.053377957995540834,0.07385080190294334,1.3835449064783032,0.8490070096931935,0.9559850756842513,1.3226482821322212,-0.29156831486946244,0.6909678689921466,0.2872061325384883,0.031493295452207457,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,anchor_100m_1x,242.0,0.03029631127825219,0.026308446994559132,0.026095037401507787,0.018544670803931216,0.019661277996480524,1.0602117559462205,0.6827455577612752,0.6768225744369165,0.7175752501078061,0.3077452062954774,0.6383843327910115,0.343965233352905,0.036451551353205776,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,fixed340_all,37.0,0.018668870190168378,0.015255499450702419,-0.0037884004898194805,0.019612114745099423,0.018080676559569756,0.9219136638025057,0.5654338549075391,0.5321077987664612,0.4905574502986749,0.44794676804568856,0.5771774729661182,0.37711365534426705,0.01179905249173857,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,fixed340_1x,13.0,0.015482014402105462,0.012760182825078275,-0.0012067811109829096,0.013663776232598852,0.01770878520540397,1.2960388770971372,0.15934065934065936,0.541522957050823,0.7018348051784661,0.26179503092795997,0.4178292539061243,0.5140180918999722,0.009127424221539242,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,external_60m,293.0,0.05341881836191014,0.036293784313268754,-0.030961780861918146,0.04334024561371067,0.03713833750157239,0.8569018697444504,0.5648679519689199,0.42330631853004835,0.3627319758230391,0.6780810267559604,0.4939962596373946,0.5782893785496839,0.05546358171170723,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,external_900m,4.0,0.043388331340911315,0.04068947869942843,-0.009548963629222335,0.01834397465097202,0.04066209048288447,2.21664558835017,0.19999999999999998,0.1330883888761838,0.2950097900630231,0.5642761909935639,0.06004044560648162,0.765651234385968,0.023111739356121097,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,seed7_train,579.0,0.047756685815764595,0.034689324914454256,4.3984182593244765e-07,0.07272246108853102,0.06038759426648567,0.8303843594205496,0.8338694609919778,0.7576528075933823,0.6291430412966118,0.39228171835375797,0.9124121847888359,0.09264734150334618,0.03316729664488501,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,seed7_holdout,61.0,0.03832092334745644,0.027944604321650916,0.017830119180134836,0.06891815131081871,0.09426619444874378,1.367799232216868,0.9171337916446324,0.9608985723080468,1.3143163294412312,-0.28303834132156586,0.7025143381245106,0.27223197036192937,0.022651819335390105,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,fixed340_holdout,27.0,0.018503305630719283,0.015542428252920725,-0.006977510781468466,0.017544144667071045,0.0164732119785675,0.9389578284478239,0.5457875457875457,0.49389057293906324,0.46374241985771386,0.47209506386978767,0.5259986742487711,0.42712531417667526,0.014070111366504936,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,random_supplement,34.0,0.04860828739500895,0.03779339119976018,0.03753029591434922,0.049681088878676775,0.06728929656838663,1.3544247537067837,0.762261268143621,0.903650545967617,1.2239266681591883,-0.18817032889822877,0.6671840155715636,0.3104129533740791,0.04508698093939759,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
paper_first_order_current_source_log,all900_holdout,4.0,0.043388331340911315,0.04068947869942843,-0.009548963629222335,0.01834397465097202,0.04066209048288447,2.21664558835017,0.19999999999999998,0.1330883888761838,0.2950097900630231,0.5642761909935639,0.06004044560648162,0.765651234385968,0.023111739356121097,Source-aware first-order synergy using log(D/D0).,16,10.0,0.05895559580361435
