run_order,run_id,row_id,prefix_state_id,prefix_candidate_id,prefix_repeat_seed,continuation_id,action_id,role,fit_budget,data_seed,trainer_seed
51,1010051,screen10__p03__control_local_sentinel_repeat,shared_bounded_ensemble_kl0p5,shared_bounded_ensemble_kl0p5,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
52,1010052,screen10__p04__local_anchor_fit079,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
53,1010053,screen10__p04__local_plus_37,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
54,1010054,screen10__p04__local_minus_37,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
55,1010055,screen10__p04__local_plus_32,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
56,1010056,screen10__p04__local_minus_32,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
57,1010057,screen10__p04__local_plus_24,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
58,1010058,screen10__p04__local_minus_24,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
59,1010059,screen10__p04__local_plus_30,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
60,1010060,screen10__p04__local_plus_10,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
61,1010061,screen10__p04__local_plus_20,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
62,1010062,screen10__p04__control_tied,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,control_tied,control_tied,prefix_tied_control,False,974000,0
63,1010063,screen10__p04__control_anchor_repeat,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
64,1010064,screen10__p04__control_local_sentinel_repeat,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
65,1010065,screen10__p05__local_anchor_fit079,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
66,1010066,screen10__p05__local_plus_37,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
67,1010067,screen10__p05__local_minus_37,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
68,1010068,screen10__p05__local_plus_32,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
69,1010069,screen10__p05__local_minus_32,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
70,1010070,screen10__p05__local_plus_24,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
71,1010071,screen10__p05__local_minus_24,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
72,1010072,screen10__p05__local_plus_30,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
73,1010073,screen10__p05__local_plus_10,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
74,1010074,screen10__p05__local_plus_20,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
75,1010075,screen10__p05__control_tied,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,control_tied,control_tied,prefix_tied_control,False,974000,0
76,1010076,screen10__p05__control_anchor_repeat,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
77,1010077,screen10__p05__control_local_sentinel_repeat,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
78,1010078,screen10__p06__local_anchor_fit079,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
79,1010079,screen10__p06__local_plus_37,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
80,1010080,screen10__p06__local_minus_37,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
81,1010081,screen10__p06__local_plus_32,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
82,1010082,screen10__p06__local_minus_32,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
