run_name,legacy_alias_all43_aggregate_mean_theta,legacy_alias_all43_rank,fixed_all43_aggregate_mean_theta,fixed_all43_rank,fixed_common43_aggregate_mean_theta,fixed_common43_rank,variable_common43_aggregate_mean_theta,variable_common43_rank
run_00050,0.303965287304891,44,0.2981593510705883,50,0.2981593510705883,50,0.45449008211907865,21
run_00133,0.29931805186826094,45,-0.00270428493882043,126,-0.00270428493882043,126,0.023439477089193406,120
run_00064,0.29594036287156733,46,0.22635072008499266,62,0.22635072008499266,62,0.4491148546591732,23
run_00118,0.29306070597521744,47,0.08144772087685336,100,0.08144772087685336,100,0.0823075068397619,110
run_00202,0.2896916538112246,48,0.38145380056323064,34,0.38145380056323064,34,0.34553723396747804,45
run_00165,0.28423141934519436,49,0.2956098080069207,51,0.2956098080069207,51,0.281995066335244,56
run_00227,0.2795901893409566,50,0.39032114864792683,31,0.39032114864792683,31,0.35167495298356527,44
run_00225,0.2729532267029599,51,0.02219438179160575,118,0.02219438179160575,118,-0.05436411711545657,142
run_00168,0.2680417683832981,52,0.5914245607157245,10,0.5914245607157245,10,0.5081091881016997,15
run_00025,0.26555586446775103,53,0.22082800874039235,65,0.22082800874039235,65,0.19248245395597352,74
run_00062,0.2647912351172097,54,0.3636955078923518,39,0.3636955078923518,39,0.3783014511560068,33
baseline_unimax,0.25783142362459205,55,0.7678189577015865,4,0.7678189577015865,4,0.49001461230738563,17
run_00089,0.2573321092836323,56,0.20507381888500587,69,0.20507381888500587,69,0.20648083193762456,71
run_00180,0.25671773762683814,57,0.2855642533040423,53,0.2855642533040423,53,0.14603728382505024,94
run_00083,0.24571076397399128,58,-0.0049381001607464725,127,-0.0049381001607464725,127,-0.0017684850697635517,130
run_00012,0.24405842533188626,59,-0.18544244738685003,175,-0.18544244738685003,175,-0.16172037903573025,167
run_00167,0.24390893958244045,60,0.15080148344455616,85,0.15080148344455616,85,0.353512144662438,43
run_00060,0.24182474030325582,61,0.15482436237231395,81,0.15482436237231395,81,0.125522536175276,101
run_00100,0.23773821014248495,62,0.10404342575833396,95,0.10404342575833396,95,-0.3307716265651303,195
run_00078,0.23698953429095881,63,0.19481585696662265,71,0.19481585696662265,71,0.1464806316535794,93
run_00194,0.22567240912196773,64,0.2604255269158027,56,0.2604255269158027,56,0.09548066528522176,108
run_00200,0.22345779286852052,65,0.5278163857337526,16,0.5278163857337526,16,0.610098113201652,9
run_00163,0.21602358236225183,66,-0.06735746677483627,143,-0.06735746677483627,143,-0.07096155655394581,146
run_00068,0.21236348378459355,67,0.22223742375946323,63,0.22223742375946323,63,0.2502730547968011,62
run_00150,0.2102931525094293,68,-0.04396728660668695,138,-0.04396728660668695,138,0.17850761508856997,78
run_00010,0.20828439641719676,69,-0.06769600379286599,144,-0.06769600379286599,144,0.006199454470541117,129
baseline_olmix_loglinear_uncheatable_bpb,0.2042250153727474,70,0.5716483796146393,11,0.5716483796146393,11,0.3996622489667218,31
run_00226,0.20267179977573954,71,0.09580836559507834,97,0.09580836559507834,97,-0.08709607695620984,150
run_00128,0.19776927877481185,72,-0.06209786397285124,142,-0.06209786397285124,142,-0.09959634417731139,152
run_00188,0.1910561420150104,73,0.07827176085204535,102,0.07827176085204535,102,0.012033881733292673,126
run_00186,0.1906767096958996,74,0.4530442072643071,23,0.4530442072643071,23,0.4597486360966396,19
run_00145,0.18491092909978502,75,0.09858243046765174,96,0.09858243046765174,96,0.10193600081816867,105
run_00020,0.17766891507708749,76,0.047713474043011704,108,0.047713474043011704,108,0.2201959098105759,66
run_00082,0.17662457987274593,77,-0.017856272174312182,131,-0.017856272174312182,131,-0.17474071269200708,168
run_00181,0.1739537755160138,78,0.04528416166742957,110,0.04528416166742957,110,0.13428114372792585,99
run_00105,0.17362661095046258,79,0.2697359873383313,55,0.2697359873383313,55,0.3767895249419744,34
run_00160,0.17152195930196348,80,0.111538684797159,92,0.111538684797159,92,0.19182565164180646,75
