run_name,kind,block,source,effective_buckets,nonzero_buckets,max_epochs,max_epochs_bucket,cc_share,synth_qa_share,stack_share,tv_to_proportional
apriori_swarm_151_lhs_type_epoch_ratios_063,lhs_type_epoch_ratios_063,lhs,new,19.062609602183695,39,5.025396045443905,dolma3_stack_edu,0.46789231055383756,0.1407290299687146,0.14418954334962425,0.26565561988122766
apriori_swarm_152_lhs_type_epoch_ratios_064,lhs_type_epoch_ratios_064,lhs,new,24.32155385257532,39,5.717829230723372,dolma3_finemath_3plus,0.6187075375417659,0.0638293036967996,0.11009518286916053,0.15578841010808236
apriori_swarm_153_lhs_type_epoch_ratios_065,lhs_type_epoch_ratios_065,lhs,new,7.015862174612996,39,3.4521595808783667,dolmino_synth_thinking,0.17515405900832115,0.17150777297212988,0.0032504505983708687,0.5045869298102064
apriori_swarm_154_lhs_type_epoch_ratios_066,lhs_type_epoch_ratios_066,lhs,new,11.189127276139034,39,5.921709948185556,dolmino_synth_instruction,0.273664911930505,0.32315137230913904,0.009933290456401296,0.4032549661594872
apriori_swarm_155_lhs_type_epoch_ratios_067,lhs_type_epoch_ratios_067,lhs,new,6.2693698988963344,39,5.212394485282181,dolmino_stem_heavy_crawl,0.15267966100160343,0.06623340164883763,0.07337526566145411,0.5035974873588349
apriori_swarm_156_lhs_type_epoch_ratios_068,lhs_type_epoch_ratios_068,lhs,new,4.687030462879929,39,4.911242369102644,dolmino_olmocr_pdfs_hq,0.09841152215871526,0.04599200863516546,0.04890523314044453,0.5856959057512204
apriori_swarm_157_lhs_type_epoch_ratios_069,lhs_type_epoch_ratios_069,lhs,new,11.308489630049436,39,5.149482402085485,dolma3_stack_edu,0.290338302349953,0.019715458669649345,0.17410041535075926,0.45578744669035615
apriori_swarm_158_lhs_type_epoch_ratios_070,lhs_type_epoch_ratios_070,lhs,new,9.127559456050914,39,15.381490600639438,dolma3_finemath_3plus,0.3038530240223779,0.026856866192641753,0.027395878070135278,0.4093959423489448
apriori_swarm_159_lhs_type_epoch_ratios_071,lhs_type_epoch_ratios_071,lhs,new,22.93301283751462,39,3.216181849173542,dolmino_synth_math,0.5192816093875925,0.11710074071016353,0.06723973953404903,0.23711433941730736
apriori_swarm_160_lhs_type_epoch_ratios_072,lhs_type_epoch_ratios_072,lhs,new,11.908488412569842,39,10.983085712434868,dolmino_stack_edu_fim,0.2043578065118316,0.2761670927965872,0.30954910030664917,0.5141612450330262
