prefix_candidate_id,continuation_id,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,total_materialized_epochs
proportional_control,cross_novel_seed0_data0,dolma3_cc/health_high,135,0.06591796875,0.19327504326021003,0.917835337232222
proportional_control,cross_novel_seed0_data0,dolma3_cc/health_low,27,0.01318359375,0.09069667294274189,0.8079026533795806
proportional_control,cross_novel_seed0_data0,dolma3_cc/history_and_geography_high,61,0.02978515625,0.28147218364529114,1.0112458523180963
proportional_control,cross_novel_seed0_data0,dolma3_cc/history_and_geography_low,27,0.01318359375,0.452717948651228,1.1819725611591552
proportional_control,cross_novel_seed0_data0,dolma3_cc/industrial_high,26,0.0126953125,0.19847057703314303,0.9228341074544482
proportional_control,cross_novel_seed0_data0,dolma3_cc/industrial_low,42,0.0205078125,0.6055229149360415,1.3465723754367276
proportional_control,cross_novel_seed0_data0,dolma3_cc/literature_high,12,0.005859375,0.028959235948830465,0.7541328544368421
proportional_control,cross_novel_seed0_data0,dolma3_cc/literature_low,16,0.0078125,0.14481579806717687,0.8605446188275239
proportional_control,cross_novel_seed0_data0,dolma3_cc/science_math_and_technology_high,76,0.037109375,0.19495718962935485,0.9150799918673256
proportional_control,cross_novel_seed0_data0,dolma3_cc/science_math_and_technology_low,3,0.00146484375,0.0168585340548184,0.7500797845444491
proportional_control,cross_novel_seed0_data0,dolma3_finemath_3plus,4,0.001953125,0.07334255658394657,0.798310166968921
proportional_control,cross_novel_seed0_data0,dolma3_stack_edu,100,0.048828125,0.46501144609052586,1.1820636924508756
proportional_control,cross_novel_seed0_data0,dolma3_wikipedia,8,0.00390625,1.359328985524955,2.03115550225887
proportional_control,cross_novel_seed0_data0,dolmino_common_crawl_hq,413,0.20166015625,0.19542029354333024,0.9175737012785147
proportional_control,cross_novel_seed0_data0,dolmino_olmocr_pdfs_hq,134,0.0654296875,0.40573464083622607,1.1240432823127384
proportional_control,cross_novel_seed0_data0,dolmino_stack_edu_fim,165,0.08056640625,0.768346218706959,1.4864052878594862
proportional_control,cross_novel_seed0_data0,dolmino_stem_heavy_crawl,27,0.01318359375,3.2285830266219593,4.1741683904504665
proportional_control,cross_novel_seed0_data0,dolmino_synth_code,49,0.02392578125,1.6196994493144112,2.4038729378706267
proportional_control,cross_novel_seed0_data0,dolmino_synth_instruction,5,0.00244140625,0.17336780105170385,0.8588418085048988
proportional_control,cross_novel_seed0_data0,dolmino_synth_math,0,0.0,0.0,0.6777974356537435
proportional_control,cross_novel_seed0_data0,dolmino_synth_qa,118,0.0576171875,0.1395544562849743,0.8643507277228659
proportional_control,cross_novel_seed0_data0,dolmino_synth_thinking,32,0.015625,0.5000327858134761,1.241432303494083
proportional_control,cross_tied_seed0_data1,dolma3_arxiv,8,0.00390625,0.17662873760943965,0.874996069178888
proportional_control,cross_tied_seed0_data1,dolma3_cc/art_and_design_high,33,0.01611328125,0.18020214716835456,0.8926982809476807
proportional_control,cross_tied_seed0_data1,dolma3_cc/art_and_design_low,14,0.0068359375,0.18835067085740692,0.93306502021124
proportional_control,cross_tied_seed0_data1,dolma3_cc/crime_and_law_high,45,0.02197265625,0.1825613498258738,0.9043854677535461
proportional_control,cross_tied_seed0_data1,dolma3_cc/crime_and_law_low,20,0.009765625,0.1806262194968775,0.8947990807695397
proportional_control,cross_tied_seed0_data1,dolma3_cc/education_and_jobs_high,74,0.0361328125,0.18361388421058555,0.9095995878438727
proportional_control,cross_tied_seed0_data1,dolma3_cc/education_and_jobs_low,36,0.017578125,0.18236305232780586,0.9034031274295096
proportional_control,cross_tied_seed0_data1,dolma3_cc/electronics_and_hardware_high,39,0.01904296875,0.1834046322742758,0.9085629806404405
proportional_control,cross_tied_seed0_data1,dolma3_cc/electronics_and_hardware_low,18,0.0087890625,0.18008895431862645,0.892137538115502
proportional_control,cross_tied_seed0_data1,dolma3_cc/entertainment_high,124,0.060546875,0.1825814060964725,0.9044848239408447
proportional_control,cross_tied_seed0_data1,dolma3_cc/entertainment_low,45,0.02197265625,0.18207505313860928,0.9019764164543627
proportional_control,cross_tied_seed0_data1,dolma3_cc/finance_and_business_high,159,0.07763671875,0.18223245398469173,0.9027561600197167
proportional_control,cross_tied_seed0_data1,dolma3_cc/finance_and_business_low,76,0.037109375,0.1828045070848437,0.9055900375685748
proportional_control,cross_tied_seed0_data1,dolma3_cc/food_and_dining_high,50,0.0244140625,0.18246544468227488,0.903910365996047
proportional_control,cross_tied_seed0_data1,dolma3_cc/food_and_dining_low,25,0.01220703125,0.18535038077904448,0.9182019687027787
proportional_control,cross_tied_seed0_data1,dolma3_cc/games_high,66,0.0322265625,0.18211455479758956,0.9021721025969551
proportional_control,cross_tied_seed0_data1,dolma3_cc/games_low,25,0.01220703125,0.1839935385027101,0.9114803464211685
proportional_control,cross_tied_seed0_data1,dolma3_cc/health_high,128,0.0625,0.18325337435042136,0.9078136683224333
