backend,elapsed_seconds,event,gpu_index,gpu_utilization_percent,memory_total_mib,memory_used_mib,memory_utilization_percent,phase,power_watts,sm_clock_mhz,temperature_c,duration_seconds,batch_count,case_count,device_count,tensor_parallel_size,batch_index,batch_seconds,bucket_max_tokens,case_ids,inference_seconds,padded_tokens,padding_seconds,prompt_tokens,real_tokens,batch_row,case_id,golden_probability_gap_to_greedy,greedy_token_id,max_probability_error,rank,top_probability_l1_error,total_seconds,attention_backend,vllm_batch_invariant,vllm_use_flashinfer_sampler,wave_count,request_id,request_kind,request_seconds,response_bytes,wave,wave_seconds
levanter-gpu,13.683229,gpu_sample,6.0,0.0,81559.0,4.0,0.0,imports,71.4,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,13.683254,gpu_sample,7.0,0.0,81559.0,4.0,0.0,imports,71.12,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.839279,gpu_sample,0.0,0.0,81559.0,4.0,0.0,fixture,69.76,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.839377,gpu_sample,1.0,0.0,81559.0,4.0,0.0,fixture,71.53,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.83941,gpu_sample,2.0,0.0,81559.0,4.0,0.0,fixture,70.43,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.839436,gpu_sample,3.0,0.0,81559.0,4.0,0.0,fixture,70.48,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.83946,gpu_sample,4.0,0.0,81559.0,4.0,0.0,fixture,72.45,345.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.839484,gpu_sample,5.0,0.0,81559.0,4.0,0.0,fixture,69.35,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.839509,gpu_sample,6.0,0.0,81559.0,4.0,0.0,fixture,71.38,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,15.839531,gpu_sample,7.0,0.0,81559.0,4.0,0.0,fixture,71.12,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004549,gpu_sample,0.0,0.0,81559.0,531.0,0.0,model_config,110.36,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004681,gpu_sample,1.0,0.0,81559.0,531.0,0.0,model_config,109.53,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004725,gpu_sample,2.0,0.0,81559.0,531.0,0.0,model_config,110.02,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004773,gpu_sample,3.0,0.0,81559.0,531.0,0.0,model_config,111.46,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004816,gpu_sample,4.0,0.0,81559.0,531.0,0.0,model_config,114.57,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004855,gpu_sample,5.0,1.0,81559.0,531.0,0.0,model_config,110.96,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004897,gpu_sample,6.0,0.0,81559.0,531.0,0.0,model_config,108.85,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,18.004924,gpu_sample,7.0,1.0,81559.0,531.0,0.0,model_config,116.81,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.837223,gpu_sample,0.0,0.0,81559.0,561.0,0.0,model_load,114.37,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.837417,gpu_sample,1.0,0.0,81559.0,541.0,0.0,model_load,118.71,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.83745,gpu_sample,2.0,0.0,81559.0,541.0,0.0,model_load,116.74,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.837476,gpu_sample,3.0,0.0,81559.0,541.0,0.0,model_load,118.64,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.837498,gpu_sample,4.0,0.0,81559.0,541.0,0.0,model_load,119.94,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.837519,gpu_sample,5.0,0.0,81559.0,541.0,0.0,model_load,114.97,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.837541,gpu_sample,6.0,0.0,81559.0,541.0,0.0,model_load,118.52,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,20.837562,gpu_sample,7.0,0.0,81559.0,541.0,0.0,model_load,120.31,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.956439,gpu_sample,0.0,0.0,81559.0,561.0,0.0,model_load,114.96,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.95655,gpu_sample,1.0,0.0,81559.0,541.0,0.0,model_load,118.81,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.956582,gpu_sample,2.0,0.0,81559.0,541.0,0.0,model_load,116.8,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.956608,gpu_sample,3.0,0.0,81559.0,541.0,0.0,model_load,118.67,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.956773,gpu_sample,4.0,0.0,81559.0,541.0,0.0,model_load,119.98,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.956941,gpu_sample,5.0,0.0,81559.0,541.0,0.0,model_load,115.03,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.95697,gpu_sample,6.0,0.0,81559.0,541.0,0.0,model_load,118.57,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,22.957135,gpu_sample,7.0,0.0,81559.0,541.0,0.0,model_load,120.4,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
