row_id,bucket,phase_1_count,phase_1_weight
p00__fit_maximin_01,dolma3_cc/education_and_jobs_low,21,0.01025390625
p00__fit_maximin_01,dolma3_cc/electronics_and_hardware_high,45,0.02197265625
p00__fit_maximin_01,dolma3_cc/electronics_and_hardware_low,1,0.00048828125
p00__fit_maximin_01,dolma3_cc/entertainment_high,137,0.06689453125
p00__fit_maximin_01,dolma3_cc/entertainment_low,36,0.017578125
p00__fit_maximin_01,dolma3_cc/finance_and_business_high,162,0.0791015625
p00__fit_maximin_01,dolma3_cc/finance_and_business_low,67,0.03271484375
p00__fit_maximin_01,dolma3_cc/food_and_dining_high,69,0.03369140625
p00__fit_maximin_01,dolma3_cc/food_and_dining_low,1,0.00048828125
p00__fit_maximin_01,dolma3_cc/games_high,29,0.01416015625
p00__fit_maximin_01,dolma3_cc/games_low,72,0.03515625
p00__fit_maximin_01,dolma3_cc/health_high,175,0.08544921875
p00__fit_maximin_01,dolma3_cc/health_low,56,0.02734375
p00__fit_maximin_01,dolma3_cc/history_and_geography_high,75,0.03662109375
p00__fit_maximin_01,dolma3_cc/history_and_geography_low,0,0.0
p00__fit_maximin_01,dolma3_cc/industrial_high,36,0.017578125
p00__fit_maximin_01,dolma3_cc/industrial_low,12,0.005859375
p00__fit_maximin_01,dolma3_cc/literature_high,57,0.02783203125
p00__fit_maximin_01,dolma3_cc/literature_low,13,0.00634765625
p00__fit_maximin_01,dolma3_cc/science_math_and_technology_high,55,0.02685546875
p00__fit_maximin_01,dolma3_cc/science_math_and_technology_low,26,0.0126953125
p00__fit_maximin_01,dolma3_finemath_3plus,18,0.0087890625
p00__fit_maximin_01,dolma3_stack_edu,64,0.03125
p00__fit_maximin_01,dolma3_wikipedia,0,0.0
p00__fit_maximin_01,dolmino_common_crawl_hq,404,0.197265625
p00__fit_maximin_01,dolmino_olmocr_pdfs_hq,28,0.013671875
p00__fit_maximin_01,dolmino_stack_edu_fim,66,0.0322265625
p00__fit_maximin_01,dolmino_stem_heavy_crawl,28,0.013671875
p00__fit_maximin_01,dolmino_synth_code,3,0.00146484375
p00__fit_maximin_01,dolmino_synth_instruction,0,0.0
p00__fit_maximin_01,dolmino_synth_math,0,0.0
p00__fit_maximin_01,dolmino_synth_qa,149,0.07275390625
p00__fit_maximin_01,dolmino_synth_thinking,1,0.00048828125
p00__fit_maximin_02,dolma3_arxiv,3,0.00146484375
p00__fit_maximin_02,dolma3_cc/art_and_design_high,12,0.005859375
p00__fit_maximin_02,dolma3_cc/art_and_design_low,11,0.00537109375
p00__fit_maximin_02,dolma3_cc/crime_and_law_high,16,0.0078125
p00__fit_maximin_02,dolma3_cc/crime_and_law_low,29,0.01416015625
p00__fit_maximin_02,dolma3_cc/education_and_jobs_high,57,0.02783203125
p00__fit_maximin_02,dolma3_cc/education_and_jobs_low,74,0.0361328125
p00__fit_maximin_02,dolma3_cc/electronics_and_hardware_high,44,0.021484375
p00__fit_maximin_02,dolma3_cc/electronics_and_hardware_low,6,0.0029296875
p00__fit_maximin_02,dolma3_cc/entertainment_high,120,0.05859375
p00__fit_maximin_02,dolma3_cc/entertainment_low,117,0.05712890625
p00__fit_maximin_02,dolma3_cc/finance_and_business_high,155,0.07568359375
p00__fit_maximin_02,dolma3_cc/finance_and_business_low,26,0.0126953125
p00__fit_maximin_02,dolma3_cc/food_and_dining_high,17,0.00830078125
p00__fit_maximin_02,dolma3_cc/food_and_dining_low,62,0.0302734375
p00__fit_maximin_02,dolma3_cc/games_high,48,0.0234375
p00__fit_maximin_02,dolma3_cc/games_low,13,0.00634765625
p00__fit_maximin_02,dolma3_cc/health_high,168,0.08203125
p00__fit_maximin_02,dolma3_cc/health_low,51,0.02490234375
p00__fit_maximin_02,dolma3_cc/history_and_geography_high,41,0.02001953125
p00__fit_maximin_02,dolma3_cc/history_and_geography_low,4,0.001953125
p00__fit_maximin_02,dolma3_cc/industrial_high,0,0.0
p00__fit_maximin_02,dolma3_cc/industrial_low,12,0.005859375
p00__fit_maximin_02,dolma3_cc/literature_high,52,0.025390625
p00__fit_maximin_02,dolma3_cc/literature_low,4,0.001953125
p00__fit_maximin_02,dolma3_cc/science_math_and_technology_high,106,0.0517578125
p00__fit_maximin_02,dolma3_cc/science_math_and_technology_low,67,0.03271484375
p00__fit_maximin_02,dolma3_finemath_3plus,6,0.0029296875
p00__fit_maximin_02,dolma3_stack_edu,10,0.0048828125
p00__fit_maximin_02,dolma3_wikipedia,27,0.01318359375
p00__fit_maximin_02,dolmino_common_crawl_hq,388,0.189453125
p00__fit_maximin_02,dolmino_olmocr_pdfs_hq,56,0.02734375
p00__fit_maximin_02,dolmino_stack_edu_fim,82,0.0400390625
p00__fit_maximin_02,dolmino_stem_heavy_crawl,0,0.0
p00__fit_maximin_02,dolmino_synth_code,0,0.0
p00__fit_maximin_02,dolmino_synth_instruction,0,0.0
p00__fit_maximin_02,dolmino_synth_math,0,0.0
p00__fit_maximin_02,dolmino_synth_qa,164,0.080078125
p00__fit_maximin_02,dolmino_synth_thinking,0,0.0
p00__fit_maximin_03,dolma3_arxiv,0,0.0
p00__fit_maximin_03,dolma3_cc/art_and_design_high,0,0.0
p00__fit_maximin_03,dolma3_cc/art_and_design_low,0,0.0
p00__fit_maximin_03,dolma3_cc/crime_and_law_high,0,0.0
p00__fit_maximin_03,dolma3_cc/crime_and_law_low,0,0.0
p00__fit_maximin_03,dolma3_cc/education_and_jobs_high,43,0.02099609375
p00__fit_maximin_03,dolma3_cc/education_and_jobs_low,0,0.0
p00__fit_maximin_03,dolma3_cc/electronics_and_hardware_high,0,0.0
p00__fit_maximin_03,dolma3_cc/electronics_and_hardware_low,152,0.07421875
p00__fit_maximin_03,dolma3_cc/entertainment_high,291,0.14208984375
p00__fit_maximin_03,dolma3_cc/entertainment_low,0,0.0
p00__fit_maximin_03,dolma3_cc/finance_and_business_high,63,0.03076171875
p00__fit_maximin_03,dolma3_cc/finance_and_business_low,0,0.0
p00__fit_maximin_03,dolma3_cc/food_and_dining_high,4,0.001953125
p00__fit_maximin_03,dolma3_cc/food_and_dining_low,0,0.0
p00__fit_maximin_03,dolma3_cc/games_high,160,0.078125
p00__fit_maximin_03,dolma3_cc/games_low,34,0.0166015625
p00__fit_maximin_03,dolma3_cc/health_high,177,0.08642578125
p00__fit_maximin_03,dolma3_cc/health_low,3,0.00146484375
p00__fit_maximin_03,dolma3_cc/history_and_geography_high,0,0.0
p00__fit_maximin_03,dolma3_cc/history_and_geography_low,0,0.0
p00__fit_maximin_03,dolma3_cc/industrial_high,0,0.0
p00__fit_maximin_03,dolma3_cc/industrial_low,0,0.0
p00__fit_maximin_03,dolma3_cc/literature_high,75,0.03662109375
p00__fit_maximin_03,dolma3_cc/literature_low,0,0.0
p00__fit_maximin_03,dolma3_cc/science_math_and_technology_high,2,0.0009765625
p00__fit_maximin_03,dolma3_cc/science_math_and_technology_low,0,0.0
p00__fit_maximin_03,dolma3_finemath_3plus,0,0.0
p00__fit_maximin_03,dolma3_stack_edu,448,0.21875
p00__fit_maximin_03,dolma3_wikipedia,0,0.0
p00__fit_maximin_03,dolmino_common_crawl_hq,376,0.18359375
p00__fit_maximin_03,dolmino_olmocr_pdfs_hq,0,0.0
p00__fit_maximin_03,dolmino_stack_edu_fim,0,0.0
p00__fit_maximin_03,dolmino_stem_heavy_crawl,0,0.0
p00__fit_maximin_03,dolmino_synth_code,0,0.0
p00__fit_maximin_03,dolmino_synth_instruction,0,0.0
p00__fit_maximin_03,dolmino_synth_math,0,0.0
p00__fit_maximin_03,dolmino_synth_qa,220,0.107421875
p00__fit_maximin_03,dolmino_synth_thinking,0,0.0
p00__fit_maximin_04,dolma3_arxiv,0,0.0
