dataset,mode,policy,evaluation_model,subset_size,n_records,success_rate,R²_median,R²_q25,R²_q75,regret@1_median,regret@1_q25,regret@1_q75,Huber_median,Huber_q25,Huber_q75,RMSE_median,RMSE_q25,RMSE_q75,regret@5_median,regret@5_q25,regret@5_q75,chosen_true_rank_median,chosen_true_rank_q25,chosen_true_rank_q75,Spearman_median,Spearman_q25,Spearman_q75
two_phase_starcoder,retrospective,feature_bayes_linear_observed,BayesLogQuad(w-e),64,1,1.0,0.9981903544790891,0.9981903544790891,0.9981903544790891,0.0027552247047424316,0.0027552247047424316,0.0027552247047424316,9.684658278281753e-05,9.684658278281753e-05,9.684658278281753e-05,0.013917369204186366,0.013917369204186366,0.013917369204186366,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,9.0,9.0,9.0,0.9927959097374391,0.9927959097374391,0.9927959097374391
two_phase_starcoder,retrospective,feature_bayes_linear_observed,BayesLogQuad(w-e),96,1,1.0,0.9983051321781632,0.9983051321781632,0.9983051321781632,0.0027552247047424316,0.0027552247047424316,0.0027552247047424316,9.070403839688386e-05,9.070403839688386e-05,9.070403839688386e-05,0.013468781563072723,0.013468781563072723,0.013468781563072723,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,9.0,9.0,9.0,0.9935032483758122,0.9935032483758122,0.9935032483758122
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,4,1,1.0,-1.2209664651310939,-1.2209664651310939,-1.2209664651310939,0.038136303424835205,0.038136303424835205,0.038136303424835205,0.03276787331074991,0.03276787331074991,0.03276787331074991,0.4875637323099183,0.4875637323099183,0.4875637323099183,0.00719463825225819,0.00719463825225819,0.00719463825225819,56.0,56.0,56.0,-0.06040825740975665,-0.06040825740975665,-0.06040825740975665
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,6,1,1.0,0.8831622478486757,0.8831622478486757,0.8831622478486757,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,0.005520506077581432,0.005520506077581432,0.005520506077581432,0.1118283684933434,0.1118283684933434,0.1118283684933434,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,2.0,2.0,2.0,0.927336331834083,0.927336331834083,0.927336331834083
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,8,1,1.0,0.7640052299229712,0.7640052299229712,0.7640052299229712,0.004393100738525391,0.004393100738525391,0.004393100738525391,0.009211956778836605,0.009211956778836605,0.009211956778836605,0.15893208529925368,0.15893208529925368,0.15893208529925368,0.00032567977905262335,0.00032567977905262335,0.00032567977905262335,16.0,16.0,16.0,0.9100065351939414,0.9100065351939414,0.9100065351939414
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,10,1,1.0,0.9502628818706633,0.9502628818706633,0.9502628818706633,0.01576787233352661,0.01576787233352661,0.01576787233352661,0.0022117096037088746,0.0022117096037088746,0.0022117096037088746,0.07296266715109558,0.07296266715109558,0.07296266715109558,0.0027552247047424316,0.0027552247047424316,0.0027552247047424316,32.0,32.0,32.0,0.8901472340752701,0.8901472340752701,0.8901472340752701
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,12,1,1.0,0.9704132890310113,0.9704132890310113,0.9704132890310113,0.0027552247047424316,0.0027552247047424316,0.0027552247047424316,0.0014928478376389435,0.0014928478376389435,0.0014928478376389435,0.05627412318808692,0.05627412318808692,0.05627412318808692,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,9.0,9.0,9.0,0.9104370891477338,0.9104370891477338,0.9104370891477338
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,16,1,1.0,0.9765035388295086,0.9765035388295086,0.9765035388295086,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,0.0011920449765427438,0.0011920449765427438,0.0011920449765427438,0.05014892422866703,0.05014892422866703,0.05014892422866703,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,2.0,2.0,2.0,0.9501710683119979,0.9501710683119979,0.9501710683119979
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,24,1,1.0,0.9736526041990171,0.9736526041990171,0.9736526041990171,0.0005172491073608398,0.0005172491073608398,0.0005172491073608398,0.001366877238322078,0.001366877238322078,0.001366877238322078,0.053104245180508165,0.053104245180508165,0.053104245180508165,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,4.0,4.0,4.0,0.8790604697651174,0.8790604697651174,0.8790604697651174
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,32,1,1.0,0.8959580257911984,0.8959580257911984,0.8959580257911984,0.0028356313705444336,0.0028356313705444336,0.0028356313705444336,0.004571783436298745,0.004571783436298745,0.004571783436298745,0.10552726551047037,0.10552726551047037,0.10552726551047037,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,11.0,11.0,11.0,0.9475262368815592,0.9475262368815592,0.9475262368815592
