sts_prefix,bucket,owners,reasons,sources,artifact_kinds,priority_max,normalized_glob
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-bs512-scalebeta-401f21/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1037,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-bs512-scalebeta-401f21/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-decay0.4-d93334/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1038,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-1B-decay0.4-d93334/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs1024-4915a4/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1039,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs1024-4915a4/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs128-2617b1/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1040,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs128-2617b1/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs256-afa914/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1041,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs256-afa914/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs512-758a48/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1042,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-256B-bs512-758a48/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-bs1024-scalebeta-1ebeb9/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1043,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-bs1024-scalebeta-1ebeb9/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-bs128-scalebeta-185a23/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1044,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-bs128-scalebeta-185a23/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-bs512-scalebeta-45cbc4/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1045,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-bs512-scalebeta-45cbc4/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-decay0.4-9422be/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1046,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-2B-decay0.4-9422be/**
